,position,games,mae,avg_score,accuracy_score
Darnell Mooney,WR,4,39.75,5.360000000000001,51.2696782909289
A.J. Brown,WR,7,40.285714285714285,12.357142857142858,50.41419200179453
Adam Prentice,RB,3,40.333333333333336,0.3625,50.33798280959612
Van Jefferson,WR,5,40.4,3.45,50.231244589853446
Jimmy Horn Jr.,WR,3,41.0,3.8,49.26822947135183
Quentin Johnston,WR,6,41.5,13.914285714285716,48.46247821784103
Tory Horton,WR,4,42.0,6.328571428571428,47.65380928065454
Zay Jones,WR,5,42.2,5.05,47.329530227257905
Xavier Legette,WR,5,42.4,7.816666666666667,47.00478978420323
Tim Patrick,WR,4,43.25,2.3285714285714287,45.61953072799472
Tez Johnson,WR,4,43.75,7.0,44.80083855704856
Brock Wright,TE,3,44.0,3.714285714285715,44.39043663875573
Kendrick Bourne,WR,6,45.5,10.128571428571428,41.913418088629534
Malik Nabers,WR,4,47.0,14.275,39.41177619779229
Luther Burden III,WR,6,47.16666666666666,5.242857142857143,39.13232033807102
Tutu Atwell,WR,3,49.0,4.4,36.03890212676315
Chris Moore,WR,3,50.0,4.471428571428571,34.33680488990581
Luke McCaffrey,WR,5,50.0,6.4125000000000005,34.33680488990581
Ryan Flournoy,WR,3,51.333333333333336,5.014285714285714,32.051431518549535
Ashton Dulin,WR,3,56.333333333333336,1.7142857142857142,23.32459290042823
Dee Eskridge,WR,3,59.66666666666666,1.025,17.374839754882117
Casey Washington,WR,3,62.66666666666666,3.08,11.933937621622718
