"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",SF,"RB1","1","8","1.5","1.8"
"2","De'Von Achane",MIA,"RB2","1","8","2.3","1.5"
"3","Josh Allen",BUF,"QB1","3","3","3.0","0.0"
"4","Jalen Hurts",PHI,"QB2","4","6","4.4","0.6"
"5","Drake Maye",NE,"QB3","4","6","4.9","0.7"
"6","Lamar Jackson",BAL,"QB4","4","14","6.8","2.8"
"7","Ja'Marr Chase",CIN,"WR1","7","21","8.5","3.6"
"8","Jaxon Smith-Njigba",SEA,"WR2","7","10","8.9","0.6"
"9","Bijan Robinson",ATL,"RB3","2","19","9.1","4.1"
"10","Dak Prescott",DAL,"QB5","6","20","10.6","4.3"
"11","Puka Nacua",LAR,"WR3","12","13","12.2","0.4"
"12","Justin Herbert",LAC,"QB6","6","15","12.3","3.1"
"13","Patrick Mahomes II",KC,"QB7","9","19","14.7","2.0"
"14","CeeDee Lamb",DAL,"WR4","12","41","15.1","7.0"
"15","Baker Mayfield",TB,"QB8","10","22","17.5","2.9"
"16","Matthew Stafford",LAR,"QB9","15","21","17.6","1.8"
"17","Jahmyr Gibbs",DET,"RB4","11","38","19.4","9.7"
"18","Joe Flacco",CIN,"QB10","14","31","20.7","4.1"
"19","Josh Jacobs",GB,"RB5","8","39","20.9","9.3"
"20","Caleb Williams",CHI,"QB11","11","28","21.7","3.9"
"21","Rico Dowdle",CAR,"RB6","11","36","23.0","8.6"
"22","Amon-Ra St. Brown",DET,"WR5","13","42","23.1","7.6"
"23","Jordan Love",GB,"QB12","20","33","23.3","3.0"
"24","Drake London",ATL,"WR6","13","31","24.8","5.0"
"25","Marcus Mariota",WAS,"QB13","23","35","26.5","3.1"
"26","Sam Darnold",SEA,"QB14","23","31","26.7","2.4"
""
"27","J.J. McCarthy",MIN,"QB15","20","40","26.9","4.9"
"28","Aaron Rodgers",PIT,"QB16","16","34","29.0","4.8"
"29","Jared Goff",DET,"QB17","20","41","30.1","7.2"
"30","James Cook III",BUF,"RB7","18","43","31.1","9.2"
"31","Jacoby Brissett",ARI,"QB18","20","42","31.7","7.2"
"32","Geno Smith",LV,"QB19","23","46","32.8","6.9"
"33","Rashee Rice",KC,"WR7","18","46","33.3","8.9"
"34","Trey McBride",ARI,"TE1","32","37","34.1","2.4"
"35","Mac Jones",SF,"QB20","28","43","34.3","4.9"
"36","Ashton Jeanty",LV,"RB8","21","55","35.1","8.3"
"37","Javonte Williams",DAL,"RB9","28","45","35.7","4.3"
"38","Brock Bowers",LV,"TE2","32","44","36.3","3.1"
"39","Bo Nix",DEN,"QB21","19","47","37.3","6.7"
"40","Jaylen Warren",PIT,"RB10","22","57","37.5","8.0"
"41","Emeka Egbuka",TB,"WR8","17","47","40.1","7.8"
"42","Justin Jefferson",MIN,"WR9","25","47","40.4","4.8"
"43","Tua Tagovailoa",MIA,"QB22","26","48","40.7","5.0"
"44","Michael Penix Jr.",ATL,"QB23","34","47","43.8","3.1"
"45","Saquon Barkley",PHI,"RB11","36","55","45.9","6.2"
"46","Jaylen Waddle",MIA,"WR10","47","50","48.1","0.9"
"47","Nico Collins",HOU,"WR11","46","50","48.5","1.0"
"48","Justin Fields",NYJ,"QB24","30","65","49.6","10.2"
"49","Davante Adams",LAR,"WR12","49","54","50.1","1.1"
"50","Ladd McConkey",LAC,"WR13","49","54","51.3","1.1"
"51","Trevor Lawrence",JAC,"QB25","34","63","52.7","9.0"
"52","George Pickens",DAL,"WR14","51","74","53.7","5.5"
"53","Chase Brown",CIN,"RB12","39","65","54.5","8.1"
"54","Kyren Williams",LAR,"RB13","43","64","55.9","5.0"
"55","Tee Higgins",CIN,"WR15","52","67","56.4","4.1"
"56","Rome Odunze",CHI,"WR16","54","62","57.2","2.6"
"57","TreVeyon Henderson",NE,"RB14","43","66","58.1","4.9"
"58","A.J. Brown",PHI,"WR17","52","71","58.1","4.7"
"59","Quinshon Judkins",CLE,"RB15","57","67","60.0","3.2"
"60","Stefon Diggs",NE,"WR18","52","70","61.5","5.6"
"61","DeVonta Smith",PHI,"WR19","52","67","61.5","4.0"
"62","Travis Etienne Jr.",JAC,"RB16","57","76","65.1","4.8"
"63","Derrick Henry",BAL,"RB17","56","71","65.3","5.0"
"64","Marvin Harrison Jr.",ARI,"WR20","55","72","66.0","6.1"
"65","Zay Flowers",BAL,"WR21","53","75","66.4","7.4"
"66","Breece Hall",NYJ,"RB18","63","75","66.9","3.2"
"67","Bryce Young",CAR,"QB26","44","81","69.4","9.5"
"68","DK Metcalf",PIT,"WR22","62","73","69.5","3.1"
"69","George Kittle",SF,"TE3","70","89","72.2","5.0"
