RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Josh Allen,BUF,QB1,1,3,1.4,0.8,35.63,1,33.24,Josh Allen
2,Lamar Jackson,BAL,QB2,1,3,2.5,0.8,31.25,2,29.63,Lamar Jackson
3,Christian McCaffrey,SF,RB1,2,6,3.1,1.8,33.72,1,29.90,Christian McCaffrey
4,Jalen Hurts,PHI,QB3,3,6,4.6,1.1,28.80,3,27.68,Jalen Hurts
5,Puka Nacua,LAR,WR1,4,11,5.4,2.4,38.76,1,31.65,Puka Nacua
6,Justin Herbert,LAC,QB4,4,7,5.8,1.1,26.67,4,26.25,Justin Herbert
7,Caleb Williams,CHI,QB5,5,9,7.5,1.2,25.35,5,25.09,Caleb Williams
8,Drake Maye,NE,QB6,8,14,9.6,1.9,24.07,6,24.09,Drake Maye
9,Bijan Robinson,ATL,RB2,6,14,10,2.9,28.43,2,26.70,Bijan Robinson
10,Patrick Mahomes II,KC,QB7,9,16,11.8,2.4,22.93,7,23.20,Patrick Mahomes II
11,Jonathan Taylor,IND,RB3,8,17,12.4,3.3,26.51,3,24.99,Jonathan Taylor
12,Daniel Jones,IND,QB8,11,19,14.6,2.7,22.07,8,22.38,Daniel Jones
13,Jordan Love,GB,QB9,12,22,15.1,2.7,21.55,9,21.62,Jordan Love
14,Saquon Barkley,PHI,RB4,11,21,15.4,3.2,24.67,4,23.75,Saquon Barkley
15,Bo Nix,DEN,QB10,12,20,15.6,2.7,20.62,10,20.91,Bo Nix
16,James Cook,BUF,RB5,11,24,16.7,4,23.51,5,22.76,James Cook
17,De'Von Achane,MIA,RB6,15,23,18.4,2.8,22.10,6,21.92,De'Von Achane
18,Jaxon Smith-Njigba,SEA,WR2,13,30,21.8,5.3,30.72,2,28.42,Jaxon Smith-Njigba
19,Jahmyr Gibbs,DET,RB7,17,32,22.2,5,21.20,7,21.18,Jahmyr Gibbs
20,Jared Goff,DET,QB11,21,31,23.7,2.8,19.73,11,20.22,Jared Goff
