"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Josh Allen",BUF,"QB1","1","2","1.1","0.3"
"2","De'Von Achane",MIA,"RB1","2","10","4.2","2.0"
"3","Dak Prescott",DAL,"QB2","2","8","4.3","2.4"
"4","Jalen Hurts",PHI,"QB3","3","10","5.1","2.8"
"5","Jaxon Smith-Njigba",SEA,"WR1","4","7","5.1","0.8"
"6","Jahmyr Gibbs",DET,"RB2","3","10","7.0","3.3"
"7","Matthew Stafford",LAR,"QB4","6","10","7.7","1.3"
"8","Joe Burrow",CIN,"QB5","7","16","9.6","2.4"
"9","Jonathan Taylor",IND,"RB3","5","13","10.7","2.3"
"10","CeeDee Lamb",DAL,"WR2","6","17","10.7","3.5"
"11","Jared Goff",DET,"QB6","6","16","10.9","3.3"
"12","Patrick Mahomes II",KC,"QB7","3","17","11.6","3.9"
"13","Rashee Rice",KC,"WR3","6","23","13.7","5.4"
"14","Ja'Marr Chase",CIN,"WR4","12","17","14.6","1.7"
"15","Lamar Jackson",BAL,"QB8","2","20","15.6","5.1"
"16","James Cook III",BUF,"RB4","8","22","16.7","6.0"
"17","Jacoby Brissett",ARI,"QB9","14","20","17.8","1.8"
"18","Baker Mayfield",TB,"QB10","14","29","18.0","4.1"
"19","Chase Brown",CIN,"RB5","12","27","18.6","4.7"
"20","Bijan Robinson",ATL,"RB6","10","26","18.9","6.0"
"21","Justin Herbert",LAC,"QB11","15","25","20.1","3.2"
"22","Jordan Love",GB,"QB12","20","25","22.1","1.8"
"23","George Pickens",DAL,"WR5","21","32","23.4","3.0"
"24","Puka Nacua",LAR,"WR6","6","32","23.9","7.0"
"25","Daniel Jones",IND,"QB13","19","34","24.3","4.5"
"26","Bo Nix",DEN,"QB14","12","29","24.4","4.5"
""
"27","Davante Adams",LAR,"WR7","21","33","26.3","4.3"
"28","Bucky Irving",TB,"RB7","26","30","28.0","1.4"
"29","Sam Darnold",SEA,"QB15","25","33","29.3","3.1"
"30","Trey McBride",ARI,"TE1","28","32","29.3","1.7"
"31","Trevor Lawrence",JAC,"QB16","25","34","30.7","2.5"
"32","Caleb Williams",CHI,"QB17","19","34","31.0","4.6"
"33","Breece Hall",NYJ,"RB8","27","52","33.2","8.2"
"34","Nico Collins",HOU,"WR8","34","43","37.4","2.7"
"35","Tyler Shough",NO,"QB18","34","43","37.5","2.5"
"36","Tyrod Taylor",NYJ,"QB19","35","41","37.9","1.6"
"37","Josh Jacobs",GB,"RB9","30","42","38.5","4.2"
"38","Chris Olave",NO,"WR9","36","44","39.6","2.5"
"39","Jaylen Waddle",MIA,"WR10","36","47","41.5","2.6"
"40","Brock Bowers",LV,"TE2","31","67","41.7","11.4"
"41","C.J. Stroud",HOU,"QB20","38","45","42.8","2.0"
"42","Jameson Williams",DET,"WR11","35","57","43.1","5.5"
"43","A.J. Brown",PHI,"WR12","41","45","44.0","1.2"
"44","Kyren Williams",LAR,"RB10","39","53","46.1","4.4"
"45","Tua Tagovailoa",MIA,"QB21","41","79","48.0","10.8"
"46","Derrick Henry",BAL,"RB11","45","52","48.5","2.9"
"47","Ladd McConkey",LAC,"WR13","47","56","49.3","2.9"
"48","RJ Harvey",DEN,"RB12","43","75","50.4","9.6"
"49","Aaron Rodgers",PIT,"QB22","48","55","50.6","2.9"
"50","Saquon Barkley",PHI,"RB13","47","59","52.4","3.5"
"51","Marcus Mariota",WAS,"QB23","36","201","52.5","47.0"
"52","Javonte Williams",DAL,"RB14","48","56","52.5","3.0"
"53","Emeka Egbuka",TB,"WR14","49","61","52.6","3.3"
"54","Zay Flowers",BAL,"WR15","49","60","53.3","3.3"
"55","Quinshon Judkins",CLE,"RB15","47","68","56.4","5.8"
"56","Justin Jefferson",MIN,"WR16","54","62","57.9","2.4"
"57","DeVonta Smith",PHI,"WR17","49","62","58.5","3.5"
"58","Michael Pittman Jr.",IND,"WR18","55","76","60.0","5.8"
"59","Jaylen Warren",PIT,"RB16","56","68","62.0","3.8"
"60","Terry McLaurin",WAS,"WR19","60","73","63.5","4.0"
"61","Travis Etienne Jr.",JAC,"RB17","55","75","63.6","6.4"
"62","Ashton Jeanty",LV,"RB18","53","71","64.2","6.0"
"63","Marvin Harrison Jr.",ARI,"WR20","56","79","64.9","7.3"
"64","Cam Ward",TEN,"QB24","51","105","65.2","16.3"
"65","Khalil Shakir",BUF,"WR21","61","82","67.0","6.6"
"66","Tyler Warren",IND,"TE3","61","86","67.9","6.4"
"67","Christian Watson",GB,"WR22","62","73","69.0","3.4"
"68","Jakobi Meyers",JAC,"WR23","64","70","69.4","1.7"
"69","Courtland Sutton",DEN,"WR24","63","77","71.1","4.6"
"70","Kenneth Walker III",SEA,"RB19","65","79","71.9","4.2"
"71","Troy Franklin",DEN,"WR25","63","87","72.9","7.6"
"72","Michael Wilson",ARI,"WR26","58","80","73.7","7.4"
"73","Travis Kelce",KC,"TE4","67","87","75.6","7.4"
"74","Deebo Samuel Sr.",WAS,"WR27","71","80","75.6","2.4"
"75","Rome Odunze",CHI,"WR28","63","81","76.7","6.0"
"76","Brian Thomas Jr.",JAC,"WR29","64","93","76.7","9.3"
"77","Chris Godwin Jr.",TB,"WR30","72","89","78.6","5.5"
"78","Woody Marks",HOU,"RB20","73","94","80.3","6.7"
"79","DK Metcalf",PIT,"WR31","77","85","80.5","2.7"
"80","D'Andre Swift",CHI,"RB21","76","97","82.0","6.3"
"81","Shedeur Sanders",CLE,"QB25","54","105","83.1","18.8"
"82","Alec Pierce",IND,"WR32","78","95","84.2","4.4"
"83","Jake Ferguson",DAL,"TE5","82","94","86.4","3.3"
"84","Quentin Johnston",LAC,"WR33","77","93","87.7","5.0"
"85","Kirk Cousins",ATL,"QB26","51","128","87.8","28.2"
"86","Xavier Worthy",KC,"WR34","84","95","89.5","3.8"
"87","Brenton Strange",JAC,"TE6","84","98","91.1","4.8"
"88","Romeo Doubs",GB,"WR35","86","95","91.9","2.2"
"89","Jayden Higgins",HOU,"WR36","85","104","93.3","7.3"
"90","Keenan Allen",LAC,"WR37","85","112","94.5","8.3"
""
"91","Darnell Mooney",ATL,"WR38","88","102","94.5","5.1"
"92","Kareem Hunt",KC,"RB22","76","117","96.1","14.3"
"93","DJ Moore",CHI,"WR39","88","116","96.9","7.1"
"94","Jordan Addison",MIN,"WR40","91","108","98.7","5.4"
"95","Jordan Mason",MIN,"RB23","68","140","100.4","25.8"
"96","Kyle Monangai",CHI,"RB24","86","119","100.8","11.1"
"97","Kyle Pitts Sr.",ATL,"TE7","93","123","101.8","7.3"
"98","Tre Tucker",LV,"WR41","86","124","102.6","10.4"
"99","Luther Burden III",CHI,"WR42","89","128","103.2","12.9"
"100","John Metchie III",NYJ,"WR43","95","118","105.0","8.6"
"101","Josh Downs",IND,"WR44","96","124","107.1","9.3"
"102","Oronde Gadsden II",LAC,"TE8","102","116","107.3","4.9"
"103","Adonai Mitchell",NYJ,"WR45","89","120","107.9","10.3"
"104","Kimani Vidal",LAC,"RB25","71","139","108.5","23.6"
"105","Parker Washington",JAC,"WR46","96","130","109.4","11.3"
"106","Harold Fannin Jr.",CLE,"TE9","106","115","110.0","3.5"
"107","Juwan Johnson",NO,"TE10","105","116","110.5","4.1"
"108","Jerry Jeudy",CLE,"WR47","103","126","111.4","9.7"
"109","Zach Charbonnet",SEA,"RB26","95","131","112.7","9.2"
"110","Colston Loveland",CHI,"TE11","107","124","114.2","5.7"
"111","Dontayvion Wicks",GB,"WR48","107","131","115.1","8.8"
"112","Mark Andrews",BAL,"TE12","103","125","115.8","7.8"
"113","Chimere Dike",TEN,"WR49","104","134","115.9","12.6"
"114","Kenneth Gainwell",PIT,"RB27","97","139","116.5","11.4"
"115","Devaughn Vele",NO,"WR50","100","138","117.1","11.4"
"116","Geno Smith",LV,"QB27","43","188","117.2","52.6"
