"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"180","Chris Rodriguez Jr.",WAS,"RB49","171","213","189.6","10.6"
"181","Devin Neal",NO,"RB50","167","263","188.3","16.8"
"182","Tommy Tremble",CAR,"TE31","166","205","177.9","11.6"
"183","Andrei Iosivas",CIN,"WR72","164","194","179.8","7.1"
"184","Bryce Young",CAR,"QB31","49","250","144.2","84.3"
"185","Cole Kmet",CHI,"TE32","156","198","177.8","9.6"
"186","JuJu Smith-Schuster",KC,"WR73","165","189","178.4","5.6"
"187","Nick Westbrook-Ikhine",MIA,"WR74","155","201","183.3","10.1"
"188","Bucky Irving",TB,"RB51","52","233","185.9","35.9"
"189","Ray Davis",BUF,"RB52","177","251","199.4","15.8"
"190","Kaleb Johnson",PIT,"RB53","175","290","201.6","23.0"
"191","Dylan Sampson",CLE,"RB54","180","218","198.0","11.4"
"192","David Njoku",CLE,"TE33","105","204","169.2","24.3"
"193","Calvin Austin III",PIT,"WR75","132","198","180.8","13.8"
"194","Chris Godwin Jr.",TB,"WR76","121","192","175.7","17.4"
"195","Darius Slayton",NYG,"WR77","125","203","182.6","18.6"
"196","Mack Hollins",NE,"WR78","160","195","184.5","7.4"
"197","Tyquan Thornton",KC,"WR79","178","214","191.3","8.3"
"198","Aaron Jones Sr.",MIN,"RB55","126","232","187.0","20.6"
"199","Christian Watson",GB,"WR80","171","199","187.9","7.5"
"200","KaVontae Turpin",DAL,"WR81","172","212","193.8","10.6"
"201","Jaylin Noel",HOU,"WR82","144","237","196.6","22.0"
"202","Ty Johnson",BUF,"RB56","175","229","205.2","14.6"
"203","Brandin Cooks",NO,"WR83","179","197","188.0","5.7"
"204","Daniel Bellinger",NYG,"TE34","156","211","192.4","13.2"
"205","Chris Brooks",GB,"RB57","184","232","212.0","13.3"
"206","Allen Lazard",NYJ,"WR84","173","236","204.9","15.6"
"207","Tyler Badie",DEN,"RB58","188","233","211.5","11.9"
"208","Tyler Johnson",NYJ,"WR85","182","232","198.9","11.8"
"209","Kendre Miller",NO,"RB59","157","225","201.5","21.4"
"210","Keaton Mitchell",BAL,"RB60","185","289","219.6","22.6"
"211","Gunnar Helm",TEN,"TE35","158","207","191.1","14.6"
"212","Tre Harris",LAC,"WR86","190","237","203.2","11.4"
"213","Will Shipley",PHI,"RB61","185","247","220.7","15.1"
"214","Joshua Palmer",BUF,"WR87","154","206","194.5","13.1"
"215","Dontayvion Wicks",GB,"WR88","151","230","207.2","19.9"
"216","Jalin Hyatt",NYG,"WR89","187","214","202.2","6.9"
"217","Zavier Scott",MIN,"RB62","182","239","215.3","17.8"
"218","Roman Wilson",PIT,"WR90","181","226","202.7","10.5"
"219","Jalen Tolbert",DAL,"WR91","192","225","209.9","8.4"
"220","Devin Singletary",NYG,"RB63","186","277","226.8","18.6"
"221","Elijah Moore",BUF,"WR92","190","224","206.3","7.8"
"222","Pat Bryant",DEN,"WR93","186","242","216.7","15.5"
"223","Tank Bigsby",PHI,"RB64","198","279","227.8","18.5"
"224","Adonai Mitchell",IND,"WR94","197","242","210.5","9.6"
"225","Kyle Juszczyk",SF,"RB65","188","251","221.4","17.8"
"226","Devaughn Vele",NO,"WR95","199","223","208.3","6.4"
"227","Jahan Dotson",PHI,"WR96","199","239","217.1","11.0"
"228","DJ Giddens",IND,"RB66","187","268","227.9","18.4"
"229","Ryan Flournoy",DAL,"WR97","201","225","214.9","6.1"
"230","Ray-Ray McCloud III",ATL,"WR98","208","224","214.2","4.8"
"231","Trevor Etienne",CAR,"RB67","211","297","234.6","20.5"
"232","Jimmy Horn Jr.",CAR,"WR99","206","233","222.3","6.3"
"233","Dawson Knox",BUF,"TE36","169","205","194.4","14.1"
"234","Tahj Brooks",CIN,"RB68","212","299","237.2","20.1"
"235","Demarcus Robinson",SF,"WR100","166","240","225.2","17.7"
"236","Devontez Walker",BAL,"WR101","215","232","222.8","5.2"
"237","Roschon Johnson",CHI,"RB69","220","292","237.3","18.1"
"238","A.J. Dillon",PHI,"RB70","214","259","236.1","12.0"
"239","Adam Thielen",MIN,"WR102","222","246","232.5","7.1"
"240","Jaylen Wright",MIA,"RB71","215","260","241.1","12.1"
"241","MarShawn Lloyd",GB,"RB72","217","255","235.5","11.8"
"242","Tyler Lockett",FA,"WR103","190","230","214.2","12.7"
"243","Julius Chestnut",TEN,"RB73","223","275","242.5","13.3"
"244","Hunter Renfrow",CAR,"WR104","222","230","224.9","2.4"
"245","Tyler Goodson",IND,"RB74","224","262","241.7","10.6"
"246","Casey Washington",ATL,"WR105","229","248","235.2","5.9"
"247","Arian Smith",NYJ,"WR106","168","227","188.2","20.2"
"248","Quinn Ewers",MIA,"QB32","201","256","244.3","14.6"
"249","Curtis Samuel",BUF,"WR107","229","241","234.4","4.1"
"250","Julian Hill",MIA,"TE37","180","212","201.4","11.6"
"251","Robbie Chosen",WAS,"WR108","209","234","225.3","7.8"
"252","Max Brosmer",MIN,"QB33","235","255","249.3","5.8"
"253","Tyrell Shavers",BUF,"WR109","147","228","180.7","34.5"
"254","Terrell Jennings",NE,"RB75","208","252","226.0","15.9"
"255","Jamari Thrash",CLE,"WR110","203","231","212.0","11.2"
"256","Malik Heath",GB,"WR111","201","233","213.8","12.0"
"257","Joe Mixon",HOU,"RB76","238","263","250.3","6.8"
"258","Jayden Reed",GB,"WR112","231","245","235.8","4.9"
"259","Austin Hooper",NE,"TE38","176","213","200.3","17.2"
"260","Noah Gray",KC,"TE39","200","209","205.7","4.0"
"261","Alec Ingold",MIA,"RB77","219","251","231.3","11.9"
"262","Tanner Conner",MIA,"TE40","199","226","216.3","12.3"
"263","Jake Tonges",SF,"TE41","196","240","216.7","18.1"
"264","Brandon Aiyuk",SF,"WR113","231","247","237.0","6.0"
