RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
183,Isaac TeSlaa,DET,WR75,172,198,185.3,6.2,0.58,75,#N/A,Isaac TeSlaa
184,Calvin Austin III,PIT,WR76,152,203,185.6,12.7,0.45,76,#N/A,Calvin Austin III
185,Brandin Cooks,NO,WR77,175,201,186.4,9.4,0.04,77,#N/A,Brandin Cooks
186,Brian Robinson Jr.,SF,RB50,173,202,186.6,7.7,3.05,50,#N/A,Brian Robinson Jr.
187,Olamide Zaccheaus,CHI,WR78,171,212,189.8,12.3,0.04,78,#N/A,Olamide Zaccheaus
188,DeAndre Hopkins,BAL,WR79,180,196,189.9,5.7,#N/A,79,#N/A,DeAndre Hopkins
189,Jerome Ford,CLE,RB51,185,209,191.3,6,2.79,51,#N/A,Jerome Ford
190,Pat Freiermuth,PIT,TE29,181,201,191.9,5.4,4.49,29,#N/A,Pat Freiermuth
191,Oronde Gadsden II,LAC,TE30,188,200,192.8,3.9,4.35,30,#N/A,Oronde Gadsden II
192,Jeremy McNichols,WAS,RB52,184,210,192.8,6.4,2.60,52,#N/A,Jeremy McNichols
193,Tutu Atwell,LAR,WR80,175,213,195.1,11.8,#N/A,80,#N/A,Tutu Atwell
194,Hunter Renfrow,CAR,WR81,182,226,196.3,13.4,#N/A,81,#N/A,Hunter Renfrow
195,Isaiah Likely,BAL,TE31,193,222,199.1,7.3,4.09,31,#N/A,Isaiah Likely
196,Dont'e Thornton Jr.,LV,WR82,176,209,199.3,7.9,#N/A,82,#N/A,Dont'e Thornton Jr.
197,Kyle Monangai,CHI,RB53,193,208,199.4,5,2.44,53,#N/A,Kyle Monangai
198,Trevor Etienne,CAR,RB54,190,209,199.5,5.6,2.17,54,#N/A,Trevor Etienne
199,Jordan Whittington,LAR,WR83,175,209,202,10.1,#N/A,83,#N/A,Jordan Whittington
200,Elijah Arroyo,SEA,TE32,189,219,203.2,7.9,3.92,32,#N/A,Elijah Arroyo
201,Mike Gesicki,CIN,TE33,199,225,207.8,8.3,3.66,33,#N/A,Mike Gesicki
202,Ty Johnson,BUF,RB55,197,223,208.8,7.4,1.97,55,#N/A,Ty Johnson
203,Nick Westbrook-Ikhine,MIA,WR84,200,245,210.1,11.9,#N/A,84,#N/A,Nick Westbrook-Ikhine
204,Mack Hollins,NE,WR85,204,220,211,4.7,#N/A,85,#N/A,Mack Hollins
205,Joe Flacco,CIN,QB32,81,142,102.7,25.8,3.13,32,#N/A,Joe Flacco
206,Jaydon Blue,DAL,RB56,202,221,213.3,5.5,1.83,56,#N/A,Jaydon Blue
207,Ray Davis,BUF,RB57,200,230,213.8,9.6,1.61,57,#N/A,Ray Davis
208,Brock Bowers,LV,TE34,101,228,179.2,39.1,3.45,34,#N/A,Brock Bowers
209,Raheem Mostert,LV,RB58,194,226,214.8,9.6,1.51,58,#N/A,Raheem Mostert
210,Tyler Lockett,TEN,WR86,190,211,205.4,5.4,#N/A,86,#N/A,Tyler Lockett
211,Andrei Iosivas,CIN,WR87,208,229,215.3,7,#N/A,87,#N/A,Andrei Iosivas
212,Devin Singletary,NYG,RB59,206,233,216.2,7.7,1.43,59,#N/A,Devin Singletary
213,DeMario Douglas,NE,WR88,203,221,212.6,5.2,#N/A,88,#N/A,DeMario Douglas
214,Samaje Perine,CIN,RB60,215,243,224.2,8.6,1.27,60,#N/A,Samaje Perine
215,Dylan Sampson,CLE,RB61,213,237,226.1,7.9,1.02,61,#N/A,Dylan Sampson
216,Zonovan Knight,ARI,RB62,206,243,226.7,11.6,0.92,62,#N/A,Zonovan Knight
217,Emanuel Wilson,GB,RB63,202,247,226.9,15.6,0.81,63,#N/A,Emanuel Wilson
218,Will Shipley,PHI,RB64,208,249,230,10.6,0.73,64,#N/A,Will Shipley
219,Hunter Long,JAC,TE35,154,214,186.8,19.7,3.18,35,#N/A,Hunter Long
220,Keaton Mitchell,BAL,RB65,217,259,235,10,0.58,65,#N/A,Keaton Mitchell
221,Adonai Mitchell,IND,WR89,176,237,218.5,15.2,#N/A,89,#N/A,Adonai Mitchell
222,Josh Reynolds,NYJ,WR90,203,216,210.1,4.5,#N/A,90,#N/A,Josh Reynolds
223,DJ Giddens,IND,RB66,212,253,239.3,12.9,0.38,66,#N/A,DJ Giddens
224,Tez Johnson,TB,WR91,211,251,228.1,13.2,#N/A,91,#N/A,Tez Johnson
225,LeQuint Allen Jr.,JAC,RB67,225,268,244.3,11.8,0.23,67,#N/A,LeQuint Allen Jr.
