RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Jayden Daniels,WAS,QB1,1,3,1.9,0.5,35.63,1,33.24,Jayden Daniels
2,Patrick Mahomes II,KC,QB2,2,4,2.9,0.5,31.25,2,29.63,Patrick Mahomes II
3,Bijan Robinson,ATL,RB1,1,10,3.5,3.4,33.72,1,29.90,Bijan Robinson
4,Christian McCaffrey,SF,RB2,1,10,4.4,2.1,28.43,2,26.70,Christian McCaffrey
5,Dak Prescott,DAL,QB3,5,7,5.4,0.8,28.80,3,27.68,Dak Prescott
6,Jonathan Taylor,IND,RB3,6,10,7.3,1.7,26.51,3,24.99,Jonathan Taylor
7,Jalen Hurts,PHI,QB4,6,10,7.5,1,26.67,4,26.25,Jalen Hurts
8,Drake Maye,NE,QB5,5,12,8.7,2.2,25.35,5,25.09,Drake Maye
9,Jahmyr Gibbs,DET,RB4,1,19,9.1,5.6,24.67,4,23.75,Jahmyr Gibbs
10,Amon-Ra St. Brown,DET,WR1,6,15,9.7,2.6,38.76,1,31.65,Amon-Ra St. Brown
11,Baker Mayfield,TB,QB6,8,13,10.8,1.5,24.07,6,24.09,Baker Mayfield
12,Jared Goff,DET,QB7,8,14,11.6,1.8,22.93,7,23.20,Jared Goff
13,Caleb Williams,CHI,QB8,11,14,12.6,1.1,22.07,8,22.38,Caleb Williams
14,Justin Herbert,LAC,QB9,12,14,13.3,0.8,21.55,9,21.62,Justin Herbert
15,Jaxon Smith-Njigba,SEA,WR2,8,24,15.4,4.6,30.72,2,28.42,Jaxon Smith-Njigba
16,Jordan Love,GB,QB10,15,21,16.7,1.5,20.62,10,20.91,Jordan Love
17,Bo Nix,DEN,QB11,16,22,17.3,1.6,19.73,11,20.22,Bo Nix
18,Daniel Jones,IND,QB12,14,20,17.6,1.4,19.06,12,19.56,Daniel Jones
19,Justin Fields,NYJ,QB13,16,27,21.1,2.9,18.44,13,18.91,Justin Fields
20,De'Von Achane,MIA,RB5,19,28,21.2,2.5,23.51,5,22.76,De'Von Achane
21,Josh Jacobs,GB,RB6,19,30,21.3,3.9,22.10,6,21.92,Josh Jacobs
22,Matthew Stafford,LAR,QB14,18,29,23,3,17.67,14,18.28,Matthew Stafford
23,Ja'Marr Chase,CIN,WR3,23,28,24.6,2,28.84,3,26.72,Ja'Marr Chase
24,Quinshon Judkins,CLE,RB7,10,32,26.4,6.4,21.20,7,21.18,Quinshon Judkins
25,Javonte Williams,DAL,RB8,19,35,26.6,3.8,20.04,8,20.51,Javonte Williams
26,Justin Jefferson,MIN,WR4,24,31,28.4,2.1,26.68,4,25.50,Justin Jefferson
27,Jaxson Dart,NYG,QB15,22,41,28.8,6.4,16.94,15,17.65,Jaxson Dart
28,Rome Odunze,CHI,WR5,24,40,30.4,4.5,25.34,5,24.53,Rome Odunze
29,C.J. Stroud,HOU,QB16,24,44,30.9,7.2,16.25,16,17.03,C.J. Stroud
30,Saquon Barkley,PHI,RB9,29,32,31.2,1.1,19.51,9,19.89,Saquon Barkley
31,Rico Dowdle,CAR,RB10,30,47,32.9,4.6,18.80,10,19.32,Rico Dowdle
32,Drake London,ATL,WR6,24,41,33.5,6.4,24.26,6,23.71,Drake London
33,Davante Adams,LAR,WR7,19,45,33.6,8.5,23.54,7,23.00,Davante Adams
34,Nico Collins,HOU,WR8,30,39,34.3,3,22.16,8,22.36,Nico Collins
35,Sam Darnold,SEA,QB17,26,40,34.4,4.7,15.73,17,16.40,Sam Darnold
36,Trevor Lawrence,JAC,QB18,25,39,36.1,4,15.22,18,15.76,Trevor Lawrence
37,Brock Purdy,SF,QB19,21,49,36.3,10.2,14.75,19,15.12,Brock Purdy
38,Aaron Rodgers,PIT,QB20,36,40,37.5,1,13.93,20,14.45,Aaron Rodgers
39,George Pickens,DAL,WR9,25,53,37.7,8.4,21.59,9,21.77,George Pickens
40,Jacory Croskey-Merritt,WAS,RB11,34,58,41,8.5,18.15,11,18.77,Jacory Croskey-Merritt
41,Bryce Young,CAR,QB21,39,43,41.5,1.1,13.27,21,13.77,Bryce Young
42,Michael Penix Jr.,ATL,QB22,39,45,42.6,1.7,12.69,22,13.05,Michael Penix Jr.
43,Dillon Gabriel,CLE,QB23,42,47,43.8,1.5,12.02,23,12.29,Dillon Gabriel
44,Deebo Samuel Sr.,WAS,WR10,33,52,43.9,6.3,20.98,10,21.23,Deebo Samuel Sr.
45,Kyren Williams,LAR,RB12,31,66,46.6,14.3,17.65,12,18.26,Kyren Williams
46,Ashton Jeanty,LV,RB13,33,65,47,12.8,16.97,13,17.77,Ashton Jeanty
47,Spencer Rattler,NO,QB24,44,53,47.8,3,11.21,24,11.47,Spencer Rattler
48,Rachaad White,TB,RB14,39,56,48.3,5,16.11,14,17.29,Rachaad White
49,Rashee Rice,KC,WR11,41,52,49.5,3,20.41,11,20.72,Rashee Rice
50,Courtland Sutton,DEN,WR12,47,55,50.2,2.5,19.90,12,20.25,Courtland Sutton
51,Jaylen Waddle,MIA,WR13,46,56,51.6,3,19.24,13,19.79,Jaylen Waddle
52,Joe Flacco,CIN,QB25,45,59,52,4.5,10.35,25,10.57,Joe Flacco
53,Brian Thomas Jr.,JAC,WR14,46,56,52.2,3,18.85,14,19.36,Brian Thomas Jr.
54,DK Metcalf,PIT,WR15,55,60,57,1.8,18.45,15,18.94,DK Metcalf
55,Cam Skattebo,NYG,RB15,34,67,58.2,8.8,15.58,15,16.83,Cam Skattebo
56,Breece Hall,NYJ,RB16,34,65,58.2,8.5,14.94,16,16.38,Breece Hall
57,Ladd McConkey,LAC,WR16,56,62,58.3,1.9,17.80,16,18.54,Ladd McConkey
58,Chris Olave,NO,WR17,55,66,60,3.1,17.11,17,18.15,Chris Olave
59,Tua Tagovailoa,MIA,QB26,48,74,60.2,10.5,9.35,26,9.56,Tua Tagovailoa
60,Tetairoa McMillan,CAR,WR18,59,65,61.5,2,16.66,18,17.77,Tetairoa McMillan
61,Trey McBride,ARI,TE1,50,79,61.9,13.1,25.51,1,22.92,Trey McBride
62,Stefon Diggs,NE,WR19,58,68,62.8,2.9,16.38,19,17.40,Stefon Diggs
63,Xavier Worthy,KC,WR20,58,68,63.1,3.3,15.71,20,17.04,Xavier Worthy
64,Jaylen Warren,PIT,RB17,52,68,63.2,4.4,14.46,17,15.94,Jaylen Warren
65,Michael Pittman Jr.,IND,WR21,62,68,64.6,1.9,15.41,21,16.69,Michael Pittman Jr.
66,Jacoby Brissett,ARI,QB27,54,75,66.3,8,7.82,27,8.39,Jacoby Brissett
67,Keenan Allen,LAC,WR22,62,70,66.5,2.3,15.02,22,16.34,Keenan Allen
68,Jake Ferguson,DAL,TE2,51,80,69.3,12.7,22.09,2,20.17,Jake Ferguson
69,J.K. Dobbins,DEN,RB18,64,71,69.7,2,13.93,18,15.50,J.K. Dobbins
70,A.J. Brown,PHI,WR23,67,81,70.7,4.2,14.68,23,15.99,A.J. Brown
71,Travis Etienne Jr.,JAC,RB19,68,74,70.8,2,13.61,19,15.07,Travis Etienne Jr.
72,Geno Smith,LV,QB28,59,76,72.5,4.4,6.72,28,6.94,Geno Smith
73,D'Andre Swift,CHI,RB20,69,83,73.1,3.8,12.91,20,14.65,D'Andre Swift
74,Wan'Dale Robinson,NYG,WR24,66,86,74.2,7.3,14.35,24,15.65,Wan'Dale Robinson
75,Kimani Vidal,LAC,RB21,71,79,74.3,2.3,12.47,21,14.22,Kimani Vidal
76,DeVonta Smith,PHI,WR25,69,83,74.5,5.1,13.93,25,15.31,DeVonta Smith
77,Tyler Warren,IND,TE3,63,80,77.6,4.7,19.81,3,18.66,Tyler Warren
78,Chase Brown,CIN,RB22,74,97,80.5,6.4,12.10,22,13.80,Chase Brown
79,Tucker Kraft,GB,TE4,82,91,83.6,2.5,17.90,4,17.55,Tucker Kraft
80,Jordan Addison,MIN,WR26,78,87,84.5,2.5,13.64,26,14.97,Jordan Addison
81,Romeo Doubs,GB,WR27,78,90,85.6,2.9,13.26,27,14.64,Romeo Doubs
82,Jordan Mason,MIN,RB23,79,91,85.8,3.5,11.65,23,13.38,Jordan Mason
83,Kendrick Bourne,SF,WR28,78,115,86.2,10.1,12.97,28,14.30,Kendrick Bourne
84,Alvin Kamara,NO,RB24,77,92,86.5,5.3,11.23,24,12.95,Alvin Kamara
85,Jakobi Meyers,LV,WR29,76,94,87.4,6,12.55,29,13.97,Jakobi Meyers
86,Jameson Williams,DET,WR30,82,91,87.5,2.8,12.30,30,13.63,Jameson Williams
87,Kenneth Walker III,SEA,RB25,83,97,88,4.3,10.87,25,12.52,Kenneth Walker III
88,CeeDee Lamb,DAL,WR31,24,193,89.4,42.2,12.08,31,13.30,CeeDee Lamb
89,DJ Moore,CHI,WR32,76,103,89.8,6.8,11.73,32,12.96,DJ Moore
90,David Montgomery,DET,RB26,82,97,91.9,4.8,10.55,26,12.08,David Montgomery
91,Cam Ward,TEN,QB29,75,221,93,42.1,5.49,29,4.94,Cam Ward
