"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"245","Kyler Murray","QB","ARI","5","18.3","15","14.1","18.1","15.3","-","-","BYE","-","-","-","-","-","-","-","-","","","16.2","80.8"
"26","Jordan Love","QB","GB","15","15.9","20.9","12.1","26.3","BYE","16","13.4","28.3","10","7.8","17.7","7.1","25.8","20.3","15.9","3.8","","","16.1","241.1"
"110","Justin Fields","QB","NYJ","9","29.5","4","-","27.1","25.9","4.9","4","20.9","BYE","8","19.3","-","-","-","-","-","","","16","143.7"
"130","Cam Skattebo","RB","NYG","8","2.9","13.9","24.1","13","14.4","31","18.4","10","-","-","-","-","-","BYE","-","-","","","16","127.7"
"27","Travis Etienne Jr.","RB","JAC","15","18.6","16.9","11.6","19.5","8.8","9.5","6.5","BYE","16.5","15.7","19.3","20.6","5.1","21.2","31.5","16.6","","","15.9","237.9"
"36","Davante Adams","WR","LAR","14","9.1","22.6","14.6","15.6","13.8","7.9","26.5","BYE","23","19.7","7.1","23.2","21.8","6.9","11.1","-","","","15.9","222.9"
"57","CeeDee Lamb","WR","DAL","12","18","20.2","0","-","-","-","22","14.6","15.5","BYE","17.6","11.5","24.2","18.1","17.1","11.1","","","15.8","189.9"
"28","Kyren Williams","RB","LAR","15","13.9","10","19.2","10.4","31.1","16.7","8.5","BYE","17.4","22.4","16.6","5.8","13.2","17.7","21.8","11.5","","","15.7","236.2"
"30","Chase Brown","RB","CIN","15","13.1","8.5","6","10.1","11.8","8.9","12","25.5","19.2","BYE","18.7","15","18.3","18.5","16","32.9","","","15.6","234.5"
"32","Sam Darnold","QB","SEA","15","5.4","17.8","16.7","16.1","28.6","20","9.6","BYE","28.2","5.9","8.3","17.7","3.1","23.3","11.3","21.5","","","15.6","233.5"
"38","Nico Collins","WR","HOU","14","5.5","14.2","22.4","11.9","16","BYE","6.7","-","14.5","22.6","24.2","8.5","21.5","16.1","23.5","9.9","","","15.5","217.5"
"33","Javonte Williams","RB","DAL","15","20.4","25","12.2","19","26.9","8.4","18.8","17.9","7.3","BYE","10.3","12.1","17","14.7","15.1","6.3","","","15.4","231.4"
"102","George Kittle","TE","SF","10","12.5","-","-","-","-","-","0","14.3","6.9","23.4","24.7","13.8","10.7","BYE","22.8","24.5","","","15.4","153.6"
"64","C.J. Stroud","QB","HOU","12","9.7","15","12.4","18.4","28.8","BYE","14.7","22.7","4.4","-","-","-","10","12.6","23.4","11.5","","","15.3","183.5"
"255","Carson Wentz","QB","MIN","5","-","-","15.3","23.2","14.7","BYE","13.3","8.8","-","-","-","-","-","-","-","-","","","15.1","75.3"
"340","Jameis Winston","QB","NYG","3","-","-","-","-","-","-","-","-","-","-","12","33.2","-","BYE","0","-","","","15.1","45.3"
"34","Saquon Barkley","RB","PHI","15","18.4","17.4","9.5","17.4","17.8","8.7","5.2","33.4","BYE","13.1","10","12.4","5.6","18.2","17.2","21.2","","","15","225.5"
"35","Ashton Jeanty","RB","LV","15","12","7.4","6.3","33.5","15.9","16.6","4.4","BYE","19.9","15.3","9.4","24.8","12.1","5.8","8.2","31.8","","","14.9","223.4"
"40","Aaron Rodgers","QB","PIT","14","25.7","12.4","12.7","12.8","BYE","17.5","24.6","16.8","12.1","8.4","9.4","-","2.7","21.5","17","15.5","","","14.9","209"
"41","A.J. Brown","WR","PHI","14","1.8","7.7","22.9","2.7","9.3","14","28.1","-","BYE","3.3","11.9","25","35.2","16","12.1","18.5","","","14.9","208.5"
"147","Bucky Irving","RB","TB","8","14.5","18.1","13.9","25.5","-","-","-","-","BYE","-","-","-","16.1","16.1","8.1","7.1","","","14.9","119.4"
"37","Derrick Henry","RB","BAL","15","29.2","2.3","10.7","7.8","9.3","14","BYE","19.1","13.1","11.4","20.2","22.8","17.4","11.2","10","22.8","","","14.8","221.3"
"74","Brock Bowers","TE","LV","12","15.3","8.8","9.8","9.6","-","-","-","BYE","43.3","3.7","14.2","11.5","22.3","14.6","8.8","14.3","","","14.7","176.2"
"156","Tucker Kraft","TE","GB","8","9.9","24.4","5.9","10.6","BYE","12.3","16.8","33.3","4","-","-","-","-","-","-","-","","","14.7","117.2"
"164","Omarion Hampton","RB","LAC","8","8.1","3.5","24.9","27.5","13","-","-","-","-","-","-","BYE","-","14.7","7.5","16.5","","","14.5","115.7"
"44","Bryce Young","QB","CAR","14","10.2","22.3","11.6","10.3","13","19.5","10.5","-","4","2.6","31.8","10.3","22.5","BYE","15.4","17.6","","","14.4","201.6"
"46","D'Andre Swift","RB","CHI","14","9.5","13.9","10.8","16","BYE","25.5","20.8","15.1","-","14.8","9","1.9","20.8","11.2","22.6","9","","","14.4","200.9"
"127","J.J. McCarthy","QB","MIN","9","23.2","4.8","-","-","-","BYE","-","-","19.9","16.7","8","2.5","-","20.4","24.5","9.3","","","14.4","129.4"
"301","Malik Nabers","WR","NYG","4","12.1","37.7","3.3","4","-","-","-","-","-","-","-","-","-","BYE","-","-","","","14.3","57.1"
"196","Garrett Wilson","WR","NYJ","7","22.5","9","24.4","20.2","19.1","4.3","-","-","BYE","0","-","-","-","-","-","-","","","14.2","99.5"
"65","Tee Higgins","WR","CIN","13","6.3","14.6","2.5","6.2","11.2","11.2","21.6","11.4","33.1","BYE","15.3","8.1","-","27.2","-","14.3","","","14.1","183"
"98","Joe Flacco","QB","CIN","11","14.2","9.8","4.7","3.3","-","18.8","26","24.3","32.7","BYE","10.9","10.6","-","-","-","0.2","","","14.1","155.3"
"39","Courtland Sutton","WR","DEN","15","18.1","1.6","23.8","19.1","17.9","2.7","16.7","10.7","10","5.4","9.9","BYE","17.2","12.2","24.3","20.6","","","14","210.2"
"51","Jaylen Warren","RB","PIT","14","13.9","17.4","13.1","-","BYE","8.3","19.8","9.3","16.9","11.1","8.7","12.8","12.4","15.2","7.8","29.1","","","14","195.8"
"139","Michael Penix Jr.","QB","ATL","9","24","5.3","5.8","19.7","BYE","14.6","12.2","-","22.7","11","7.9","-","-","-","-","-","","","13.7","123.3"
