"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",SF,"RB1","1","1","1.0","0.0"
"2","Puka Nacua",LAR,"WR1","2","2","2.0","0.0"
"3","Jahmyr Gibbs",DET,"RB2","4","4","4.0","0.0"
"4","Drake Maye",NE,"QB1","3","12","5.4","2.8"
"5","Jaxon Smith-Njigba",SEA,"WR2","5","16","5.8","2.6"
"6","Joe Burrow",CIN,"QB2","3","11","6.0","2.1"
"7","Ja'Marr Chase",CIN,"WR3","6","9","7.4","1.1"
"8","Bijan Robinson",ATL,"RB3","4","18","8.4","2.1"
"9","Josh Allen",BUF,"QB3","3","14","8.8","3.4"
"10","Dak Prescott",DAL,"QB4","7","12","9.7","1.3"
"11","Trevor Lawrence",JAC,"QB5","5","14","10.9","2.3"
"12","Matthew Stafford",LAR,"QB6","6","15","12.7","1.7"
"13","Brock Purdy",SF,"QB7","11","17","13.9","1.3"
"14","De'Von Achane",MIA,"RB4","10","29","15.7","5.9"
"15","Jacoby Brissett",ARI,"QB8","14","21","16.4","1.7"
"16","Jalen Hurts",PHI,"QB9","14","24","17.8","3.3"
"17","Trey McBride",ARI,"TE1","18","19","18.1","0.2"
"18","Amon-Ra St. Brown",DET,"WR4","15","31","18.2","5.0"
"19","CeeDee Lamb",DAL,"WR5","5","20","18.5","3.6"
"20","Caleb Williams",CHI,"QB10","15","22","19.9","2.2"
"21","James Cook III",BUF,"RB5","9","40","20.4","6.8"
"22","Bo Nix",DEN,"QB11","15","27","22.2","2.5"
"23","Baker Mayfield",TB,"QB12","16","32","23.3","2.3"
"24","Tyler Shough",NO,"QB13","22","28","25.5","1.4"
"25","Saquon Barkley",PHI,"RB6","9","43","25.8","8.6"
"26","Jared Goff",DET,"QB14","25","32","27.0","2.1"
""
"27","Chase Brown",CIN,"RB7","23","40","27.4","2.9"
"28","Jaxson Dart",NYG,"QB15","24","39","28.1","3.2"
"29","Ashton Jeanty",LV,"RB8","10","47","28.4","8.9"
"30","Travis Etienne Jr.",JAC,"RB9","19","40","29.4","3.8"
"31","Chris Olave",NO,"WR6","16","31","29.5","4.2"
"32","Sam Darnold",SEA,"QB16","26","41","33.0","3.2"
"33","George Pickens",DAL,"WR7","31","36","33.2","0.8"
"34","Justin Herbert",LAC,"QB17","32","39","34.9","1.9"
"35","Jonathan Taylor",IND,"RB10","19","43","36.0","7.7"
"36","Nico Collins",HOU,"WR8","33","55","36.2","3.8"
"37","C.J. Stroud",HOU,"QB18","37","42","38.5","1.5"
"38","Drake London",ATL,"WR9","35","63","39.6","6.9"
"39","Javonte Williams",DAL,"RB11","27","47","39.6","5.2"
"40","Mike Evans",TB,"WR10","35","63","41.0","8.5"
"41","Kirk Cousins",ATL,"QB19","37","61","45.2","6.5"
"42","Kyren Williams",LAR,"RB12","41","51","45.5","2.6"
"43","Rhamondre Stevenson",NE,"RB13","23","76","45.6","9.4"
"44","RJ Harvey",DEN,"RB14","39","49","47.0","2.0"
"45","A.J. Brown",PHI,"WR11","35","68","47.3","9.2"
"46","Geno Smith",LV,"QB20","42","61","48.4","5.2"
"47","Bucky Irving",TB,"RB15","46","56","48.9","1.8"
"48","Bryce Young",CAR,"QB21","42","72","50.3","6.5"
"49","Jaylen Warren",PIT,"RB16","46","67","51.0","5.6"
"50","Kenneth Gainwell",PIT,"RB17","48","75","52.2","5.5"
"51","Derrick Henry",BAL,"RB18","43","67","53.3","7.2"
"52","Courtland Sutton",DEN,"WR12","37","63","55.7","6.9"
"53","Josh Johnson",WAS,"QB22","44","72","57.4","5.7"
"54","Philip Rivers",IND,"QB23","44","70","58.2","7.0"
"55","Jameson Williams",DET,"WR13","35","68","58.4","7.2"
"56","Tee Higgins",CIN,"WR14","45","64","58.5","4.2"
"57","Cam Ward",TEN,"QB24","44","70","59.5","6.9"
"58","Omarion Hampton",LAC,"RB19","48","87","59.8","9.6"
"59","Jauan Jennings",SF,"WR15","45","78","60.8","5.6"
"60","Aaron Rodgers",PIT,"QB25","51","70","61.5","7.0"
"61","Jakobi Meyers",JAC,"WR16","38","75","61.6","8.2"
"62","Quinn Ewers",MIA,"QB26","44","78","63.3","8.5"
"63","D'Andre Swift",CHI,"RB20","50","80","64.3","10.0"
"64","Josh Jacobs",GB,"RB21","49","80","65.8","7.9"
"65","Tetairoa McMillan",CAR,"WR17","59","79","67.8","5.6"
"66","Tyrone Tracy Jr.",NYG,"RB22","50","87","68.7","9.1"
"67","Wan'Dale Robinson",NYG,"WR18","59","75","69.2","4.3"
"68","Aaron Jones Sr.",MIN,"RB23","49","89","70.9","13.2"
"69","Zay Flowers",BAL,"WR19","62","84","71.1","6.8"
"70","Harold Fannin Jr.",CLE,"TE2","65","92","71.8","10.5"
"71","Jaylen Waddle",MIA,"WR20","45","84","72.6","9.1"
"72","Justin Jefferson",MIN,"WR21","64","82","75.2","4.0"
"73","Shedeur Sanders",CLE,"QB27","69","98","75.2","7.3"
"74","DJ Moore",CHI,"WR22","64","82","75.3","5.1"
"75","Kenneth Walker III",SEA,"RB24","56","88","76.1","8.3"
"76","Terry McLaurin",WAS,"WR23","63","82","76.4","4.8"
"77","Stefon Diggs",NE,"WR24","62","83","76.9","5.2"
"78","Tony Pollard",TEN,"RB25","56","95","78.9","8.8"
"79","DeVonta Smith",PHI,"WR25","67","84","79.8","3.9"
"80","Michael Wilson",ARI,"WR26","59","105","80.7","9.9"
"81","Breece Hall",NYJ,"RB26","50","111","83.6","12.9"
"82","Max Brosmer",MIN,"QB28","70","260","85.3","32.0"
"83","Michael Carter",ARI,"RB27","66","101","86.2","8.9"
"84","Ladd McConkey",LAC,"WR27","83","105","86.3","5.0"
"85","George Kittle",SF,"TE3","65","138","86.5","17.0"
"86","Brian Thomas Jr.",JAC,"WR28","83","98","86.6","3.3"
"87","Kyle Pitts Sr.",ATL,"TE4","86","101","88.1","2.9"
"88","Michael Pittman Jr.",IND,"WR29","81","97","91.3","4.4"
"89","Chris Godwin Jr.",TB,"WR30","83","105","92.2","5.6"
"90","Juwan Johnson",NO,"TE5","88","104","92.6","4.0"
""
"91","Marvin Harrison Jr.",ARI,"WR31","83","109","93.2","5.8"
"92","Rico Dowdle",CAR,"RB28","76","120","94.7","8.1"
"93","Deebo Samuel Sr.",WAS,"WR32","85","108","94.8","5.5"
"94","Christian Watson",GB,"WR33","87","114","99.7","8.3"
"95","Khalil Shakir",BUF,"WR34","93","120","99.9","5.5"
"96","Brady Cook",NYJ,"QB29","71","278","104.7","51.0"
"97","Adonai Mitchell",NYJ,"WR35","97","130","104.7","6.9"
"98","Troy Franklin",DEN,"WR36","91","111","104.7","5.0"
"99","Parker Washington",JAC,"WR37","97","133","105.0","8.3"
"100","Brenton Strange",JAC,"TE6","97","115","105.2","4.4"
"101","Malik Willis",GB,"QB30","32","248","65.6","51.4"
"102","Hunter Henry",NE,"TE7","92","116","105.8","5.5"
"103","Colston Loveland",CHI,"TE8","98","123","106.3","5.8"
"104","Kyle Monangai",CHI,"RB29","101","126","108.4","7.2"
"105","Dalton Schultz",HOU,"TE9","92","129","109.1","9.4"
"106","Woody Marks",HOU,"RB30","80","136","109.3","12.7"
"107","Chris Oladokun",KC,"QB31","80","278","110.7","47.0"
"108","Tyler Warren",IND,"TE10","90","128","112.0","8.7"
"109","Jacory Croskey-Merritt",WAS,"RB31","80","173","112.0","21.2"
"110","Jake Ferguson",DAL,"TE11","102","118","113.2","5.2"
"111","Jordan Addison",MIN,"WR38","100","131","113.3","5.9"
"112","Zach Charbonnet",SEA,"RB32","101","126","114.2","6.6"
"113","Mack Hollins",NE,"WR39","85","135","114.2","10.2"
"114","Jayden Reed",GB,"WR40","100","133","115.0","9.0"
"115","Blake Corum",LAR,"RB33","95","127","115.2","9.6"
"116","Josh Downs",IND,"WR41","100","133","115.2","7.7"
"117","Dallas Goedert",PHI,"TE12","101","128","115.9","9.3"
"118","Alec Pierce",IND,"WR42","91","147","118.0","11.6"
"119","Tre Tucker",LV,"WR43","96","139","118.3","10.7"
"120","Emeka Egbuka",TB,"WR44","100","141","120.3","11.8"
"121","Colby Parkinson",LAR,"TE13","104","137","121.7","7.5"
"122","Travis Kelce",KC,"TE14","112","142","124.4","7.5"
"123","Quentin Johnston",LAC,"WR45","109","137","127.3","7.9"
"124","Rashid Shaheed",SEA,"WR46","111","136","127.6","7.0"
"125","Keenan Allen",LAC,"WR47","118","141","127.7","6.6"
"126","Taysom Hill",NO,"TE15","111","142","127.8","8.2"
"127","Darren Waller",MIA,"TE16","116","146","128.0","7.3"
"128","Jalen Coker",CAR,"WR48","118","151","130.7","8.1"
"129","Isiah Pacheco",KC,"RB34","121","151","131.7","8.9"
"130","Romeo Doubs",GB,"WR49","114","156","132.8","9.5"
"131","Darius Slayton",NYG,"WR50","125","146","133.2","3.9"
"132","AJ Barner",SEA,"TE17","117","142","133.3","7.2"
"133","Chimere Dike",TEN,"WR51","125","141","133.8","3.8"
"134","Samaje Perine",CIN,"RB35","121","160","134.2","10.9"
"135","David Montgomery",DET,"RB36","121","149","134.3","8.7"
"136","Tyjae Spears",TEN,"RB37","115","157","135.1","11.1"
"137","Xavier Worthy",KC,"WR52","118","159","137.6","8.7"
"138","Jerry Jeudy",CLE,"WR53","125","156","139.8","6.7"
"139","Cooper Kupp",SEA,"WR54","118","163","140.3","8.7"
"140","Audric Estime",NO,"RB38","108","174","141.5","16.8"
"141","Theo Johnson",NYG,"TE18","137","164","143.1","5.1"
"142","Mike Gesicki",CIN,"TE19","127","172","145.6","9.6"
"143","Raheim Sanders",CLE,"RB39","108","206","146.0","19.6"
"144","Dalton Kincaid",BUF,"TE20","128","179","147.0","8.6"
