RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Lamar Jackson,BAL,QB1,1,2,1.1,0.4,35.63,1,33.24,Lamar Jackson
2,Josh Allen,BUF,QB2,1,2,1.9,0.4,31.25,2,29.63,Josh Allen
3,Christian McCaffrey,SF,RB1,3,8,3.4,1.3,33.72,1,29.90,Christian McCaffrey
4,Jalen Hurts,PHI,QB3,4,11,5.1,2.5,28.80,3,27.68,Jalen Hurts
5,Bijan Robinson,ATL,RB2,6,8,6.2,0.6,28.43,2,26.70,Bijan Robinson
6,Dak Prescott,DAL,QB4,4,16,6.6,3.5,26.67,4,26.25,Dak Prescott
7,Patrick Mahomes II,KC,QB5,5,13,8.2,3,25.35,5,25.09,Patrick Mahomes II
8,CeeDee Lamb,DAL,WR1,8,22,10.2,3.7,38.76,1,31.65,CeeDee Lamb
9,Saquon Barkley,PHI,RB3,7,30,12.5,7.9,26.51,3,24.99,Saquon Barkley
10,Baker Mayfield,TB,QB6,9,18,12.7,2.2,24.07,6,24.09,Baker Mayfield
11,Malik Nabers,NYG,WR2,10,22,14.5,3.2,30.72,2,28.42,Malik Nabers
12,Ja'Marr Chase,CIN,WR3,10,26,14.9,4.1,28.84,3,26.72,Ja'Marr Chase
13,Drake Maye,NE,QB7,10,19,15.2,2.5,22.93,7,23.20,Drake Maye
14,Justin Herbert,LAC,QB8,10,20,15.6,3.2,22.07,8,22.38,Justin Herbert
15,Caleb Williams,CHI,QB9,8,20,16.4,2.7,21.55,9,21.62,Caleb Williams
16,Jahmyr Gibbs,DET,RB4,7,32,17.6,8.4,24.67,4,23.75,Jahmyr Gibbs
17,Puka Nacua,LAR,WR4,10,36,19.1,7.9,26.68,4,25.50,Puka Nacua
18,Kyler Murray,ARI,QB10,16,24,20.1,2.7,20.62,10,20.91,Kyler Murray
19,De'Von Achane,MIA,RB5,9,44,20.9,7.6,23.51,5,22.76,De'Von Achane
20,Amon-Ra St. Brown,DET,WR5,11,40,22.5,7.8,25.34,5,24.53,Amon-Ra St. Brown
21,Jordan Love,GB,QB11,18,29,22.9,2.8,19.73,11,20.22,Jordan Love
22,Jonathan Taylor,IND,RB6,7,38,23.3,9.8,22.10,6,21.92,Jonathan Taylor
23,James Cook,BUF,RB7,8,38,23.5,11.1,21.20,7,21.18,James Cook
24,Bo Nix,DEN,QB12,19,28,23.6,2.4,19.06,12,19.56,Bo Nix
25,Daniel Jones,IND,QB13,13,29,25.4,4.4,18.44,13,18.91,Daniel Jones
26,Justin Jefferson,MIN,WR6,10,42,26.6,10.3,24.26,6,23.71,Justin Jefferson
27,Jared Goff,DET,QB14,22,29,27.1,2.2,17.67,14,18.28,Jared Goff
28,Derrick Henry,BAL,RB8,17,48,29.2,10.7,20.04,8,20.51,Derrick Henry
29,Jayden Daniels,WAS,QB15,11,189,29.6,46.5,16.94,15,17.65,Jayden Daniels
30,Jaxon Smith-Njigba,SEA,WR7,22,40,31.4,6.9,23.54,7,23.00,Jaxon Smith-Njigba
31,Bucky Irving,TB,RB9,21,46,31.5,7.3,19.51,9,19.89,Bucky Irving
32,Trevor Lawrence,JAC,QB16,28,36,31.5,2.6,16.25,16,17.03,Trevor Lawrence
33,Michael Penix Jr.,ATL,QB17,27,37,31.9,2.7,15.73,17,16.40,Michael Penix Jr.
34,C.J. Stroud,HOU,QB18,25,38,33.9,3.1,15.22,18,15.76,C.J. Stroud
35,Jake Browning,CIN,QB19,28,39,34.9,3.4,14.75,19,15.12,Jake Browning
36,Geno Smith,LV,QB20,31,44,36.4,3.7,13.93,20,14.45,Geno Smith
37,Mac Jones,SF,QB21,32,42,36.9,3,13.27,21,13.77,Mac Jones
38,Nico Collins,HOU,WR8,26,53,37.1,6.4,22.16,8,22.36,Nico Collins
39,Chase Brown,CIN,RB10,30,55,39,7.6,18.80,10,19.32,Chase Brown
40,Josh Jacobs,GB,RB11,24,47,39.9,7.9,18.15,11,18.77,Josh Jacobs
41,Sam Darnold,SEA,QB22,30,46,40.2,5.1,12.69,22,13.05,Sam Darnold
42,Russell Wilson,NYG,QB23,35,64,44.5,6.3,12.02,23,12.29,#N/A
43,Matthew Stafford,LAR,QB24,39,64,44.8,7.2,11.21,24,11.47,Matthew Stafford
44,Drake London,ATL,WR9,39,53,45.9,5.6,21.59,9,21.77,Drake London
45,Travis Etienne Jr.,JAC,RB12,27,59,47.5,7.9,17.65,12,18.26,Travis Etienne Jr.
46,Trey McBride,ARI,TE1,46,53,47.5,1.8,25.51,1,22.92,Trey McBride
47,Bryce Young,CAR,QB25,41,61,47.9,5.7,10.35,25,10.57,Bryce Young
48,Aaron Rodgers,PIT,QB26,35,60,50,8.4,9.35,26,9.56,Aaron Rodgers
49,Alvin Kamara,NO,RB13,45,55,50.7,2.7,16.97,13,17.77,Alvin Kamara
50,Ashton Jeanty,LV,RB14,46,56,50.9,3,16.11,14,17.29,Ashton Jeanty
51,Brian Thomas Jr.,JAC,WR10,39,60,51.2,7,20.98,10,21.23,Brian Thomas Jr.
52,Zay Flowers,BAL,WR11,41,57,52.1,3.9,20.41,11,20.72,Zay Flowers
53,Davante Adams,LAR,WR12,48,63,54.9,3.8,19.90,12,20.25,Davante Adams
54,Garrett Wilson,NYJ,WR13,43,71,55.1,6.9,19.24,13,19.79,Garrett Wilson
55,Carson Wentz,MIN,QB27,33,75,55.2,15.7,7.82,27,8.39,Carson Wentz
56,Brock Bowers,LV,TE2,50,77,55.3,8,22.09,2,20.17,Brock Bowers
57,Javonte Williams,DAL,RB15,48,61,55.7,3.5,15.58,15,16.83,Javonte Williams
58,Jordan Mason,MIN,RB16,46,74,56.1,7.9,14.94,16,16.38,Jordan Mason
59,Breece Hall,NYJ,RB17,56,65,59.9,2.4,14.46,17,15.94,Breece Hall
60,Tua Tagovailoa,MIA,QB28,44,65,60.4,6.8,6.72,28,6.94,Tua Tagovailoa
61,Ladd McConkey,LAC,WR14,49,69,60.5,6.3,18.85,14,19.36,Ladd McConkey
62,James Conner,ARI,RB18,55,71,60.8,5.1,13.93,18,15.50,James Conner
63,Kenneth Walker III,SEA,RB19,51,73,61.4,6.3,13.61,19,15.07,Kenneth Walker III
64,DK Metcalf,PIT,WR15,55,74,65.5,5.8,18.45,15,18.94,DK Metcalf
65,Cam Ward,TEN,QB29,58,75,66.6,4.8,5.49,29,4.94,Cam Ward
66,A.J. Brown,PHI,WR16,60,79,66.8,5.7,17.80,16,18.54,A.J. Brown
67,Jaylen Warren,PIT,RB20,65,73,67.7,2.3,12.91,20,14.65,Jaylen Warren
68,Rome Odunze,CHI,WR17,57,79,68.9,6.8,17.11,17,18.15,Rome Odunze
69,Kyren Williams,LAR,RB21,60,79,69.5,6,12.47,21,14.22,Kyren Williams
70,Chuba Hubbard,CAR,RB22,60,80,70.5,6.1,12.10,22,13.80,Chuba Hubbard
71,Marvin Harrison Jr.,ARI,WR18,63,87,70.5,6.5,16.66,18,17.77,Marvin Harrison Jr.
72,Tetairoa McMillan,CAR,WR19,64,78,72.2,4.3,16.38,19,17.40,Tetairoa McMillan
73,Mike Evans,TB,WR20,66,78,72.5,4,15.71,20,17.04,Mike Evans
74,Deebo Samuel Sr.,WAS,WR21,61,89,74.2,7,15.41,21,16.69,Deebo Samuel Sr.
75,Tony Pollard,TEN,RB23,62,85,74.3,6.5,11.65,23,13.38,Tony Pollard
76,Emeka Egbuka,TB,WR22,66,84,75.9,5.2,15.02,22,16.34,Emeka Egbuka
77,Tee Higgins,CIN,WR23,70,88,79.4,6.3,14.68,23,15.99,Tee Higgins
78,J.K. Dobbins,DEN,RB24,75,94,80.7,4.7,11.23,24,12.95,J.K. Dobbins
79,Tyreek Hill,MIA,WR24,72,87,82.1,4.6,14.35,24,15.65,Tyreek Hill
80,D'Andre Swift,CHI,RB25,75,90,82.7,4.1,10.87,25,12.52,D'Andre Swift
81,Omarion Hampton,LAC,RB26,75,99,84,5.8,10.55,26,12.08,Omarion Hampton
82,Courtland Sutton,DEN,WR25,76,91,84.2,3.7,13.93,25,15.31,Courtland Sutton
83,Jakobi Meyers,LV,WR26,73,91,84.9,5.6,13.64,26,14.97,Jakobi Meyers
84,George Pickens,DAL,WR27,78,90,85.5,4.2,13.26,27,14.64,George Pickens
85,Spencer Rattler,NO,QB30,65,204,86.5,34.3,4.71,30,1.10,Spencer Rattler
86,Terry McLaurin,WAS,WR28,81,90,86.9,2.3,12.97,28,14.30,Terry McLaurin
87,Joe Flacco,CLE,QB31,70,155,87.8,29.2,4.19,31,#N/A,Joe Flacco
88,DeVonta Smith,PHI,WR29,84,94,88.8,3.2,12.55,29,13.97,DeVonta Smith
89,DJ Moore,CHI,WR30,77,97,89,4.9,12.30,30,13.63,DJ Moore
90,Jameson Williams,DET,WR31,84,101,91.5,4,12.08,31,13.30,Jameson Williams
91,Tucker Kraft,GB,TE3,88,101,93.5,3.7,19.81,3,18.66,Tucker Kraft
92,Marquise Brown,KC,WR32,86,114,94.5,6.9,11.73,32,12.96,Marquise Brown
93,Chris Olave,NO,WR33,94,101,96.2,2,11.33,33,12.62,Chris Olave
94,David Montgomery,DET,RB27,84,107,96.6,7,10.19,27,11.64,David Montgomery
95,Keenan Allen,LAC,WR34,86,102,97.6,4.5,11.02,34,12.27,Keenan Allen
96,Ricky Pearsall,SF,WR35,95,103,97.6,2.5,10.73,35,11.92,Ricky Pearsall
97,Jauan Jennings,SF,WR36,93,103,97.8,2.7,10.50,36,11.57,Jauan Jennings
98,Jaylen Waddle,MIA,WR37,96,103,98.8,2.1,10.20,37,11.21,Jaylen Waddle
99,Tyler Warren,IND,TE4,91,104,99.1,3.8,17.90,4,17.55,Tyler Warren
100,Jacory Croskey-Merritt,WAS,RB28,86,117,100.2,8.8,9.67,28,11.18,Jacory Croskey-Merritt
101,Calvin Ridley,TEN,WR38,96,108,101.9,2.8,9.89,38,10.84,Calvin Ridley
102,Michael Pittman Jr.,IND,WR39,94,112,102.9,6,9.57,39,10.46,Michael Pittman Jr.
103,Travis Hunter,JAC,WR40,97,121,104.7,6.1,9.14,40,10.07,Travis Hunter
104,Isiah Pacheco,KC,RB29,83,130,105,12.4,9.49,29,10.71,Isiah Pacheco
105,Rhamondre Stevenson,NE,RB30,84,134,106,14,9.11,30,10.23,Rhamondre Stevenson
106,Travis Kelce,KC,TE5,104,112,107.3,3,16.45,5,16.65,Travis Kelce
107,Wan'Dale Robinson,NYG,WR41,94,121,107.5,6.6,8.84,41,9.67,Wan'Dale Robinson
108,Sam LaPorta,DET,TE6,91,117,108.5,6.1,15.50,6,15.87,Sam LaPorta
109,Khalil Shakir,BUF,WR42,107,116,109.2,2.2,8.58,42,9.25,Khalil Shakir
110,Stefon Diggs,NE,WR43,100,114,109.4,3.3,8.31,43,8.82,Stefon Diggs
