"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","De'Von Achane",MIA,"RB1","1","6","1.7","1.5"
"2","Bijan Robinson",ATL,"RB2","1","11","2.6","1.9"
"3","Christian McCaffrey",SF,"RB3","1","9","3.2","1.6"
"4","Josh Allen",BUF,"QB1","2","12","4.7","1.7"
"5","Jalen Hurts",PHI,"QB2","3","12","5.9","1.9"
"6","Jahmyr Gibbs",DET,"RB4","2","19","6.2","4.5"
"7","Puka Nacua",LAR,"WR1","7","13","7.9","1.8"
"8","Jaxon Smith-Njigba",SEA,"WR2","8","16","9.1","2.3"
"9","Drake Maye",NE,"QB3","4","13","9.6","2.8"
"10","Ja'Marr Chase",CIN,"WR3","8","20","11.2","3.3"
"11","Amon-Ra St. Brown",DET,"WR4","8","23","12.4","4.0"
"12","James Cook III",BUF,"RB5","5","41","13.4","7.3"
"13","Joe Burrow",CIN,"QB4","5","20","13.6","2.6"
"14","Dak Prescott",DAL,"QB5","7","21","14.0","2.8"
"15","Brock Purdy",SF,"QB6","8","20","14.7","2.3"
"16","Lamar Jackson",BAL,"QB7","10","26","16.2","3.1"
"17","Matthew Stafford",LAR,"QB8","9","21","16.5","2.4"
"18","Jacoby Brissett",ARI,"QB9","7","26","17.4","3.6"
"19","Jared Goff",DET,"QB10","12","24","19.2","2.8"
"20","C.J. Stroud",HOU,"QB11","17","28","22.6","3.0"
"21","Jordan Love",GB,"QB12","15","36","22.8","4.7"
"22","Travis Etienne Jr.",JAC,"RB6","19","45","23.5","7.6"
"23","Justin Herbert",LAC,"QB13","14","31","24.7","4.1"
"24","Trey McBride",ARI,"TE1","22","40","25.2","5.6"
"25","CeeDee Lamb",DAL,"WR5","20","33","26.0","2.8"
"26","Saquon Barkley",PHI,"RB7","9","47","26.8","8.4"
""
"27","Bo Nix",DEN,"QB14","20","31","26.9","3.3"
"28","Caleb Williams",CHI,"QB15","21","32","28.0","2.9"
"29","Jaxson Dart",NYG,"QB16","16","37","28.3","4.0"
"30","Trevor Lawrence",JAC,"QB17","24","35","29.6","3.0"
"31","Nico Collins",HOU,"WR6","20","35","30.4","5.3"
"32","Baker Mayfield",TB,"QB18","21","37","30.4","3.8"
"33","Jonathan Taylor",IND,"RB8","3","48","34.0","11.9"
"34","J.J. McCarthy",MIN,"QB19","26","43","34.4","3.4"
"35","Josh Jacobs",GB,"RB9","29","48","35.2","6.6"
"36","Tyler Shough",NO,"QB20","33","49","35.8","3.7"
"37","Michael Wilson",ARI,"WR7","25","54","35.8","5.1"
"38","Bryce Young",CAR,"QB21","32","43","37.0","2.4"
"39","Mike Evans",TB,"WR8","35","54","39.5","4.9"
"40","Kirk Cousins",ATL,"QB22","37","44","40.8","1.9"
"41","Tua Tagovailoa",MIA,"QB23","37","80","41.7","8.1"
"42","Sam Darnold",SEA,"QB24","33","49","42.4","4.3"
"43","Bucky Irving",TB,"RB10","29","55","42.6","5.9"
"44","Aaron Rodgers",PIT,"QB25","34","63","44.1","7.3"
"45","TreVeyon Henderson",NE,"RB11","31","60","46.8","5.0"
"46","Jaylen Waddle",MIA,"WR9","36","54","47.4","4.4"
"47","A.J. Brown",PHI,"WR10","38","53","47.5","3.8"
"48","Chris Olave",NO,"WR11","38","63","50.2","4.5"
"49","Jameson Williams",DET,"WR12","43","57","51.0","3.2"
"50","Javonte Williams",DAL,"RB12","23","69","53.2","9.6"
"51","George Kittle",SF,"TE2","51","60","53.3","2.9"
"52","Rashee Rice",KC,"WR13","45","58","53.4","2.5"
"53","Tetairoa McMillan",CAR,"WR14","42","66","54.8","4.2"
"54","George Pickens",DAL,"WR15","42","59","54.9","3.9"
"55","DK Metcalf",PIT,"WR16","51","65","57.3","2.6"
"56","Marcus Mariota",WAS,"QB26","39","329","58.4","55.5"
"57","Jauan Jennings",SF,"WR17","50","74","58.5","4.5"
