"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Josh Allen",BUF,"QB1","1","1","1.0","0.0"
"2","Christian McCaffrey",SF,"RB1","2","2","2.0","0.0"
"3","Lamar Jackson",BAL,"QB2","3","4","3.2","0.4"
"4","Jaxon Smith-Njigba",SEA,"WR1","3","7","5.3","1.6"
"5","Puka Nacua",LAR,"WR2","3","12","6.3","2.7"
"6","Bijan Robinson",ATL,"RB2","5","15","6.5","3.4"
"7","Jonathan Taylor",IND,"RB3","5","9","7.8","1.6"
"8","Drake Maye",NE,"QB3","6","13","8.3","2.4"
"9","Amon-Ra St. Brown",DET,"WR3","7","23","9.3","4.3"
"10","Justin Herbert",LAC,"QB4","6","13","10.2","2.1"
"11","De'Von Achane",MIA,"RB4","9","20","10.8","2.7"
"12","Jalen Hurts",PHI,"QB5","7","21","12.5","3.3"
"13","Jaxson Dart",NYG,"QB6","12","19","13.7","1.4"
"14","Bo Nix",DEN,"QB7","12","17","14.0","1.6"
"15","Baker Mayfield",TB,"QB8","12","18","15.3","1.5"
"16","James Cook III",BUF,"RB5","6","25","16.4","4.0"
"17","Caleb Williams",CHI,"QB9","12","19","17.0","1.6"
"18","Daniel Jones",IND,"QB10","14","21","18.0","1.5"
"19","Rico Dowdle",CAR,"RB6","10","25","19.0","3.8"
"20","Matthew Stafford",LAR,"QB11","16","21","19.1","1.6"
"21","Jahmyr Gibbs",DET,"RB7","10","25","20.0","3.6"
"22","Jared Goff",DET,"QB12","16","25","20.2","1.7"
"23","Drake London",ATL,"WR4","8","24","21.6","3.9"
"24","Sam Darnold",SEA,"QB13","20","26","24.7","1.2"
"25","Justin Jefferson",MIN,"WR5","23","36","26.0","3.9"
"26","Jordan Love",GB,"QB14","26","30","26.8","1.0"
""
"27","J.J. McCarthy",MIN,"QB15","25","33","28.3","2.2"
"28","Marcus Mariota",WAS,"QB16","21","34","28.4","2.9"
"29","Justin Fields",NYJ,"QB17","27","35","30.4","2.0"
"30","Davante Adams",LAR,"WR6","31","39","32.0","1.9"
"31","Emeka Egbuka",TB,"WR7","23","38","32.3","5.2"
"32","Saquon Barkley",PHI,"RB8","28","44","32.6","4.6"
"33","Josh Jacobs",GB,"RB9","28","46","33.6","4.4"
"34","Trey McBride",ARI,"TE1","33","37","35.2","0.8"
"35","Brock Bowers",LV,"TE2","35","38","35.7","0.7"
"36","Jacoby Brissett",ARI,"QB18","28","48","37.0","6.4"
"37","Aaron Rodgers",PIT,"QB19","28","45","37.3","3.9"
"38","Kyren Williams",LAR,"RB10","29","48","41.0","4.7"
"39","Mac Jones",SF,"QB20","27","96","41.4","13.8"
"40","Jaylen Warren",PIT,"RB11","22","52","41.9","9.1"
"41","Nico Collins",HOU,"WR8","39","62","41.9","5.4"
"42","Michael Penix Jr.",ATL,"QB21","33","49","42.7","3.6"
"43","Jaylen Waddle",MIA,"WR9","39","57","42.9","4.7"
"44","Ladd McConkey",LAC,"WR10","40","58","44.2","5.0"
"45","Derrick Henry",BAL,"RB12","36","50","44.8","3.8"
"46","Bryce Young",CAR,"QB22","41","52","46.4","3.0"
"47","Zay Flowers",BAL,"WR11","38","58","48.2","6.3"
"48","Rome Odunze",CHI,"WR12","39","69","49.0","8.3"
"49","Michael Pittman Jr.",IND,"WR13","40","59","50.6","4.8"
"50","Tua Tagovailoa",MIA,"QB23","46","57","51.8","3.4"
"51","Trevor Lawrence",JAC,"QB24","45","61","52.3","4.7"
"52","Quinshon Judkins",CLE,"RB13","38","71","53.1","7.4"
"53","Courtland Sutton",DEN,"WR14","43","74","53.4","7.6"
"54","Ashton Jeanty",LV,"RB14","37","78","54.5","11.7"
"55","DeVonta Smith",PHI,"WR15","42","65","56.1","5.3"
"56","A.J. Brown",PHI,"WR16","44","66","57.0","4.5"
"57","Stefon Diggs",NE,"WR17","51","65","57.8","3.2"
"58","Geno Smith",LV,"QB25","50","69","58.0","4.5"
"59","J.K. Dobbins",DEN,"RB15","49","79","60.5","10.7"
"60","Wan'Dale Robinson",NYG,"WR18","59","66","61.9","1.8"
"61","Breece Hall",NYJ,"RB16","50","84","62.8","8.8"
"62","Chris Olave",NO,"WR19","49","75","63.1","7.8"
"63","Dillon Gabriel",CLE,"QB26","54","83","63.6","5.5"
"64","Marvin Harrison Jr.",ARI,"WR20","56","73","64.1","4.9"
"65","Tetairoa McMillan",CAR,"WR21","56","76","65.5","4.8"
"66","Garrett Wilson",NYJ,"WR22","41","100","66.0","13.8"
"67","Tyler Shough",NO,"QB27","61","83","66.1","4.7"
"68","Davis Mills",HOU,"QB28","46","131","67.0","17.8"
"69","Kimani Vidal",LAC,"RB17","54","84","70.6","6.2"
"70","Deebo Samuel Sr.",WAS,"WR23","61","103","70.8","9.1"
"71","DK Metcalf",PIT,"WR24","64","78","71.0","3.4"
"72","DJ Moore",CHI,"WR25","65","90","72.0","4.9"
"73","Oronde Gadsden II",LAC,"TE3","67","78","73.1","3.0"
"74","Travis Etienne Jr.",JAC,"RB18","66","84","74.1","5.2"
"75","Kyle Monangai",CHI,"RB19","42","101","74.4","16.1"
"76","Tyler Warren",IND,"TE4","67","79","74.9","4.1"
"77","Romeo Doubs",GB,"WR26","59","88","75.8","8.3"
"78","Jordan Addison",MIN,"WR27","67","94","80.2","6.7"
"79","George Kittle",SF,"TE5","72","96","80.3","6.5"
"80","TreVeyon Henderson",NE,"RB20","71","92","81.0","5.3"
"81","Sam LaPorta",DET,"TE6","77","87","81.6","2.9"
"82","Jauan Jennings",SF,"WR28","74","106","84.3","9.7"
"83","Jameson Williams",DET,"WR29","75","92","85.1","3.5"
"84","Quentin Johnston",LAC,"WR30","75","106","85.4","7.6"
"85","Khalil Shakir",BUF,"WR31","71","98","86.4","7.0"
"86","Keenan Allen",LAC,"WR32","73","114","86.7","12.5"
"87","Dalton Kincaid",BUF,"TE7","76","100","87.0","5.5"
"88","Kenneth Walker III",SEA,"RB21","76","101","88.7","6.5"
"89","David Montgomery",DET,"RB22","82","93","89.5","3.8"
"90","Troy Franklin",DEN,"WR33","74","105","90.1","7.1"
""
"91","Rachaad White",TB,"RB23","53","143","90.6","21.9"
"92","Tyrone Tracy Jr.",NYG,"RB24","82","114","92.9","6.9"
"93","Dallas Goedert",PHI,"TE8","83","109","93.3","5.5"
"94","Kyle Pitts Sr.",ATL,"TE9","89","102","93.3","5.1"
"95","Parker Washington",JAC,"WR34","88","106","95.2","4.3"
"96","Tez Johnson",TB,"WR35","73","115","95.8","7.0"
"97","Zach Charbonnet",SEA,"RB25","95","107","97.7","2.9"
"98","RJ Harvey",DEN,"RB26","84","133","99.7","11.6"
"99","Josh Downs",IND,"WR36","93","110","101.3","4.2"
"100","Alvin Kamara",NO,"RB27","87","112","101.4","6.8"
"101","Colston Loveland",CHI,"TE10","92","109","101.5","3.5"
"102","Tre Tucker",LV,"WR37","84","112","103.7","8.0"
"103","Harold Fannin Jr.",CLE,"TE11","100","119","104.2","4.0"
"104","Alec Pierce",IND,"WR38","82","113","104.9","8.1"
"105","Hunter Henry",NE,"TE12","91","111","105.2","5.9"
"106","Woody Marks",HOU,"RB28","81","161","107.6","17.8"
"107","Theo Johnson",NYG,"TE13","100","118","107.6","3.4"
"108","Darius Slayton",NYG,"WR39","103","133","112.0","8.0"
"109","Zonovan Knight",ARI,"RB29","99","132","114.3","7.0"
"110","Rashid Shaheed",SEA,"WR40","105","147","114.8","9.0"
"111","Zach Ertz",WAS,"TE14","105","130","115.3","6.3"
"112","Jordan Mason",MIN,"RB30","86","144","116.5","16.8"
"113","Jakobi Meyers",JAC,"WR41","102","135","116.7","9.1"
"114","Olamide Zaccheaus",CHI,"WR42","109","134","117.1","5.3"
"115","Mark Andrews",BAL,"TE15","105","127","117.7","4.9"
"116","Cade Otton",TB,"TE16","104","130","118.2","5.2"
"117","Juwan Johnson",NO,"TE17","108","140","118.3","7.7"
"118","Dalton Schultz",HOU,"TE18","110","127","120.7","4.3"
"119","Jacory Croskey-Merritt",WAS,"RB31","102","139","121.7","10.5"
"120","Christian Watson",GB,"WR43","115","137","122.3","6.3"
"121","Kendrick Bourne",SF,"WR44","114","149","122.7","8.0"
"122","Malik Washington",MIA,"WR45","117","139","123.2","5.8"
"123","Devin Singletary",NYG,"RB32","99","140","123.3","12.4"
"124","Mason Taylor",NYJ,"TE19","118","144","125.7","6.4"
"125","Tory Horton",SEA,"WR46","113","156","125.9","10.2"
"126","Evan Engram",DEN,"TE20","107","142","126.0","7.7"
"127","DeMario Douglas",NE,"WR47","111","147","126.0","8.6"
"128","Darnell Mooney",ATL,"WR48","115","136","126.7","5.6"
"129","Calvin Austin III",PIT,"WR49","116","138","131.2","5.6"
"130","Jerry Jeudy",CLE,"WR50","117","139","131.3","6.1"
"131","Keon Coleman",BUF,"WR51","113","144","132.5","6.8"
"132","T.J. Hockenson",MIN,"TE21","125","144","132.7","5.9"
"133","Aaron Jones Sr.",MIN,"RB33","86","183","114.3","26.9"
"134","Luke Musgrave",GB,"TE22","118","145","136.8","7.1"
"135","Nick Chubb",HOU,"RB34","127","153","136.8","6.6"
"136","Rashod Bateman",BAL,"WR52","134","142","137.1","2.2"
