RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Josh Allen,BUF,QB1,1,3,1.2,0.4,35.63,1,33.24,Josh Allen
2,Lamar Jackson,BAL,QB2,1,6,2,0.7,31.25,2,29.63,Lamar Jackson
3,Jalen Hurts,PHI,QB3,3,14,4.3,1.8,28.80,3,27.68,Jalen Hurts
4,Joe Burrow,CIN,QB4,3,19,4.5,3,26.67,4,26.25,Joe Burrow
5,Ja'Marr Chase,CIN,WR1,5,11,5.5,1.5,38.76,1,31.65,Ja'Marr Chase
6,Jayden Daniels,WAS,QB5,2,15,6,2.2,25.35,5,25.09,Jayden Daniels
7,Christian McCaffrey,SF,RB1,6,21,8.2,2.5,33.72,1,29.90,Christian McCaffrey
8,CeeDee Lamb,DAL,WR2,5,14,9.1,1.5,30.72,2,28.42,CeeDee Lamb
9,Justin Herbert,LAC,QB6,3,25,9.6,4.5,24.07,6,24.09,Justin Herbert
10,Bijan Robinson,ATL,RB2,6,32,12.2,4.6,28.43,2,26.70,Bijan Robinson
11,Justin Jefferson,MIN,WR3,9,37,13.7,5.5,28.84,3,26.72,Justin Jefferson
12,Kyler Murray,ARI,QB7,6,22,13.8,4,22.93,7,23.20,Kyler Murray
13,Justin Fields,NYJ,QB8,6,23,13.9,4,22.07,8,22.38,Justin Fields
14,Derrick Henry,BAL,RB3,6,30,14.2,3.8,26.51,3,24.99,Derrick Henry
15,Malik Nabers,NYG,WR4,10,55,17.5,9.6,26.68,4,25.50,Malik Nabers
16,Patrick Mahomes II,KC,QB9,6,33,17.5,4.9,21.55,9,21.62,Patrick Mahomes II
17,Jahmyr Gibbs,DET,RB4,11,27,18.7,4,24.67,4,23.75,Jahmyr Gibbs
18,Drake Maye,NE,QB10,13,33,20.2,5.4,20.62,10,20.91,Drake Maye
19,Baker Mayfield,TB,QB11,14,28,21.2,4.2,19.73,11,20.22,Baker Mayfield
20,Chase Brown,CIN,RB5,11,38,21.9,4.4,23.51,5,22.76,Chase Brown
21,Dak Prescott,DAL,QB12,13,45,22.8,6.9,19.06,12,19.56,Dak Prescott
22,Saquon Barkley,PHI,RB6,11,45,23.7,6.8,22.10,6,21.92,Saquon Barkley
23,Trevor Lawrence,JAC,QB13,7,40,24.6,4.6,18.44,13,18.91,Trevor Lawrence
24,Bo Nix,DEN,QB14,16,36,25.4,4.4,17.67,14,18.28,Bo Nix
25,Amon-Ra St. Brown,DET,WR5,12,78,26.6,13.1,25.34,5,24.53,Amon-Ra St. Brown
26,Jordan Love,GB,QB15,14,37,27.4,4.1,16.94,15,17.65,Jordan Love
27,J.J. McCarthy,MIN,QB16,16,43,30.1,4.5,16.25,16,17.03,J.J. McCarthy
28,Josh Jacobs,GB,RB7,11,57,30.2,8.9,21.20,7,21.18,Josh Jacobs
29,Caleb Williams,CHI,QB17,17,45,30.3,5,15.73,17,16.40,Caleb Williams
30,Brian Thomas Jr.,JAC,WR6,12,51,30.9,8.5,24.26,6,23.71,Brian Thomas Jr.
31,Nico Collins,HOU,WR7,10,51,32.6,7.7,23.54,7,23.00,Nico Collins
32,Jared Goff,DET,QB18,22,43,32.6,4.8,15.22,18,15.76,Jared Goff
33,Puka Nacua,LAR,WR8,9,63,33,14.2,22.16,8,22.36,Puka Nacua
34,James Conner,ARI,RB8,21,62,34.6,12.3,20.04,8,20.51,James Conner
35,Bucky Irving,TB,RB9,24,57,36.1,7.3,19.51,9,19.89,Bucky Irving
36,Ashton Jeanty,LV,RB10,17,61,38.1,10.2,18.80,10,19.32,Ashton Jeanty
37,Kyren Williams,LAR,RB11,24,57,38.4,6.3,18.15,11,18.77,Kyren Williams
38,C.J. Stroud,HOU,QB19,23,48,38.6,5.2,14.75,19,15.12,C.J. Stroud
39,Michael Penix Jr.,ATL,QB20,28,55,38.6,6,13.93,20,14.45,Michael Penix Jr.
40,Brock Purdy,SF,QB21,16,145,31.8,17,13.27,21,13.77,Brock Purdy
41,De'Von Achane,MIA,RB12,13,57,40.5,11.6,17.65,12,18.26,De'Von Achane
42,Geno Smith,LV,QB22,28,54,41.9,4.8,12.69,22,13.05,Geno Smith
43,Aaron Rodgers,PIT,QB23,23,56,42,6.5,12.02,23,12.29,Aaron Rodgers
44,Daniel Jones,IND,QB24,16,55,42.8,7.7,11.21,24,11.47,Daniel Jones
45,Trey McBride,ARI,TE1,32,50,45.7,5.7,25.51,1,22.92,Trey McBride
46,Matthew Stafford,LAR,QB25,33,60,47.8,6.3,10.35,25,10.57,Matthew Stafford
47,Ladd McConkey,LAC,WR9,35,71,47.8,8.9,21.59,9,21.77,Ladd McConkey
48,Breece Hall,NYJ,RB13,26,74,48.3,7.6,16.97,13,17.77,Breece Hall
49,Drake London,ATL,WR10,20,140,49.5,18.5,20.98,10,21.23,Drake London
50,Jaxon Smith-Njigba,SEA,WR11,34,63,49.8,6.2,20.41,11,20.72,Jaxon Smith-Njigba
51,Jonathan Taylor,IND,RB14,20,74,50.9,9.3,16.11,14,17.29,Jonathan Taylor
52,James Cook,BUF,RB15,26,64,51,8.8,15.58,15,16.83,James Cook
53,Bryce Young,CAR,QB26,42,75,52.6,5.9,9.35,26,9.56,Bryce Young
54,Tua Tagovailoa,MIA,QB27,41,79,54.1,6.4,7.82,27,8.39,Tua Tagovailoa
55,Garrett Wilson,NYJ,WR12,38,68,55.3,6.3,19.90,12,20.25,Garrett Wilson
56,Joe Flacco,CLE,QB28,43,68,56.3,5.3,6.72,28,6.94,Joe Flacco
57,Travis Etienne Jr.,JAC,RB16,32,110,56.8,10.6,14.94,16,16.38,Travis Etienne Jr.
