RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Josh Allen,BUF,QB1,1,1,1,0,35.63,1,33.24,Josh Allen
2,Puka Nacua,LAR,WR1,3,13,3.6,2.2,38.76,1,31.65,Puka Nacua
3,Christian McCaffrey,SF,RB1,2,17,4.3,3.8,33.72,1,29.90,Christian McCaffrey
4,Jalen Hurts,PHI,QB2,4,10,5,1.7,31.25,2,29.63,Jalen Hurts
5,Jahmyr Gibbs,DET,RB2,2,8,5.2,1.7,28.43,2,26.70,Jahmyr Gibbs
6,Patrick Mahomes II,KC,QB3,4,11,6.1,2.1,28.80,3,27.68,Patrick Mahomes II
7,Jonathan Taylor,IND,RB3,6,7,6.9,0.3,26.51,3,24.99,Jonathan Taylor
8,De'Von Achane,MIA,RB4,2,8,7,1.8,24.67,4,23.75,De'Von Achane
9,Justin Fields,NYJ,QB4,4,12,9.1,1.9,26.67,4,26.25,Justin Fields
10,Justin Herbert,LAC,QB5,4,12,9.6,1.6,25.35,5,25.09,Justin Herbert
11,Jayden Daniels,WAS,QB6,9,16,11.6,1.4,24.07,6,24.09,Jayden Daniels
12,Drake Maye,NE,QB7,9,15,12,1.4,22.93,7,23.20,Drake Maye
13,Amon-Ra St. Brown,DET,WR2,13,14,13.1,0.3,30.72,2,28.42,Amon-Ra St. Brown
14,Daniel Jones,IND,QB8,12,16,14.1,1.2,22.07,8,22.38,Daniel Jones
15,Jared Goff,DET,QB9,14,22,16.4,2.3,21.55,9,21.62,Jared Goff
16,James Cook,BUF,RB5,8,19,16.6,2.1,23.51,5,22.76,James Cook
17,Kyler Murray,ARI,QB10,11,23,16.9,3.3,20.62,10,20.91,Kyler Murray
18,Baker Mayfield,TB,QB11,15,39,20.1,5.7,19.73,11,20.22,Baker Mayfield
19,Dak Prescott,DAL,QB12,15,23,21.1,1.7,19.06,12,19.56,Dak Prescott
20,Jaxon Smith-Njigba,SEA,WR3,20,23,21.7,0.8,28.84,3,26.72,Jaxon Smith-Njigba
21,Saquon Barkley,PHI,RB6,17,37,21.9,5,22.10,6,21.92,Saquon Barkley
22,Breece Hall,NYJ,RB7,18,36,22.1,5.5,21.20,7,21.18,Breece Hall
23,Omarion Hampton,LAC,RB8,18,28,22.2,3.6,20.04,8,20.51,Omarion Hampton
24,Bo Nix,DEN,QB13,20,31,24.7,3.1,18.44,13,18.91,Bo Nix
25,Garrett Wilson,NYJ,WR4,24,28,25.9,0.8,26.68,4,25.50,Garrett Wilson
26,Jaxson Dart,NYG,QB14,21,32,26.4,3.6,17.67,14,18.28,Jaxson Dart
27,Justin Jefferson,MIN,WR5,26,36,29.4,2.5,25.34,5,24.53,Justin Jefferson
28,Matthew Stafford,LAR,QB15,23,37,29.7,3,16.94,15,17.65,Matthew Stafford
29,Sam Darnold,SEA,QB16,23,37,30.1,3.7,16.25,16,17.03,Sam Darnold
30,Nico Collins,HOU,WR6,20,39,31.3,3.9,24.26,6,23.71,Nico Collins
31,Geno Smith,LV,QB17,28,41,33,3,15.73,17,16.40,Geno Smith
32,Ashton Jeanty,LV,RB9,24,44,33.1,6,19.51,9,19.89,Ashton Jeanty
33,Trey McBride,ARI,TE1,33,35,33.3,0.6,25.51,1,22.92,Trey McBride
34,George Pickens,DAL,WR7,27,45,34,5.9,23.54,7,23.00,George Pickens
35,Javonte Williams,DAL,RB10,19,50,35.1,10.3,18.80,10,19.32,Javonte Williams
36,Davante Adams,LAR,WR8,34,38,35.3,1.1,22.16,8,22.36,Davante Adams
37,C.J. Stroud,HOU,QB18,25,40,35.5,3.6,15.22,18,15.76,C.J. Stroud
38,Tua Tagovailoa,MIA,QB19,32,47,40.5,3.2,14.75,19,15.12,Tua Tagovailoa
39,Emeka Egbuka,TB,WR9,35,53,40.7,4.8,21.59,9,21.77,Emeka Egbuka
40,Bryce Young,CAR,QB20,25,48,40.9,5.4,13.93,20,14.45,Bryce Young
41,Trevor Lawrence,JAC,QB21,39,46,41.5,2.1,13.27,21,13.77,Trevor Lawrence
42,Derrick Henry,BAL,RB11,36,49,44.2,2.5,18.15,11,18.77,Derrick Henry
43,Kyren Williams,LAR,RB12,38,63,45.3,5.5,17.65,12,18.26,Kyren Williams
44,Ja'Marr Chase,CIN,WR10,30,61,46,9.5,20.98,10,21.23,Ja'Marr Chase
45,Spencer Rattler,NO,QB22,32,69,47.1,9.1,12.69,22,13.05,Spencer Rattler
46,Jake Browning,CIN,QB23,40,75,50.2,7.9,12.02,23,12.29,Jake Browning
47,Cam Skattebo,NYG,RB13,37,57,50.4,4.6,16.97,13,17.77,Cam Skattebo
48,Travis Etienne Jr.,JAC,RB14,48,65,50.8,4,16.11,14,17.29,Travis Etienne Jr.
49,Quentin Johnston,LAC,WR11,42,68,51.9,8.5,20.41,11,20.72,Quentin Johnston
50,Quinshon Judkins,CLE,RB15,44,60,52.4,3.6,15.58,15,16.83,Quinshon Judkins
51,Carson Wentz,MIN,QB24,41,69,54,9.4,11.21,24,11.47,Carson Wentz
52,Michael Pittman Jr.,IND,WR12,43,64,54.3,5.4,19.90,12,20.25,Michael Pittman Jr.
53,Deebo Samuel Sr.,WAS,WR13,42,65,54.4,7.2,19.24,13,19.79,Deebo Samuel Sr.
54,Courtland Sutton,DEN,WR14,43,62,54.7,6.3,18.85,14,19.36,Courtland Sutton
55,Alvin Kamara,NO,RB16,49,68,58,6,14.94,16,16.38,Alvin Kamara
56,Tetairoa McMillan,CAR,WR15,42,73,58.6,8.1,18.45,15,18.94,Tetairoa McMillan
57,Zay Flowers,BAL,WR16,44,71,59.5,7.2,17.80,16,18.54,Zay Flowers
58,Kenneth Walker III,SEA,RB17,52,68,59.6,4.5,14.46,17,15.94,Kenneth Walker III
59,Jaylen Waddle,MIA,WR17,53,72,59.7,5.8,17.11,17,18.15,Jaylen Waddle
60,Xavier Worthy,KC,WR18,44,77,60,8.1,16.66,18,17.77,Xavier Worthy
61,Keenan Allen,LAC,WR19,54,71,62.8,4.4,16.38,19,17.40,Keenan Allen
62,Jakobi Meyers,LV,WR20,57,72,65,4.9,15.71,20,17.04,Jakobi Meyers
63,A.J. Brown,PHI,WR21,57,72,65.3,4.7,15.41,21,16.69,A.J. Brown
64,Jordan Mason,MIN,RB18,57,81,67.4,5.7,13.93,18,15.50,Jordan Mason
65,Tyler Warren,IND,TE2,59,84,68.5,9.6,22.09,2,20.17,Tyler Warren
66,Chris Olave,NO,WR22,64,74,68.8,3.3,15.02,22,16.34,Chris Olave
67,Brock Bowers,LV,TE3,59,79,71.6,8.9,19.81,3,18.66,Brock Bowers
68,Wan'Dale Robinson,NYG,WR23,64,84,71.6,7,14.68,23,15.99,Wan'Dale Robinson
69,Woody Marks,HOU,RB19,47,100,72,13.6,13.61,19,15.07,Woody Marks
