"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Patrick Mahomes II",KC,"QB1","2","3","2.6","0.5"
"2","Jahmyr Gibbs",DET,"RB1","1","7","3.3","2.4"
"3","Josh Allen",BUF,"QB2","4","4","4.0","0.0"
"4","Lamar Jackson",BAL,"QB3","2","6","4.6","1.2"
"5","Christian McCaffrey",SF,"RB2","1","12","5.4","4.1"
"6","Jalen Hurts",PHI,"QB4","5","7","5.9","0.6"
"7","Jaxon Smith-Njigba",SEA,"WR1","6","7","6.4","0.5"
"8","Drake Maye",NE,"QB5","3","8","7.0","1.7"
"9","Jonathan Taylor",IND,"RB3","9","15","11.3","2.2"
"10","Bijan Robinson",ATL,"RB4","9","15","12.0","2.2"
"11","Matthew Stafford",LAR,"QB6","10","15","12.6","2.1"
"12","Rashee Rice",KC,"WR2","10","18","13.0","2.3"
"13","Amon-Ra St. Brown",DET,"WR3","10","16","13.0","1.8"
"14","Joe Burrow",CIN,"QB7","11","17","15.9","2.1"
"15","Justin Herbert",LAC,"QB8","15","17","15.9","0.8"
"16","Puka Nacua",LAR,"WR4","14","19","17.4","1.9"
"17","Dak Prescott",DAL,"QB9","14","19","17.6","1.5"
"18","De'Von Achane",MIA,"RB5","10","40","17.7","10.3"
"19","Jacoby Brissett",ARI,"QB10","13","21","18.9","2.5"
"20","Bo Nix",DEN,"QB11","17","22","20.1","1.8"
"21","Chase Brown",CIN,"RB6","14","22","20.7","2.8"
"22","Ja'Marr Chase",CIN,"WR5","10","42","21.6","10.9"
"23","Jared Goff",DET,"QB12","21","25","22.3","1.4"
"24","CeeDee Lamb",DAL,"WR6","19","32","25.0","4.9"
"25","Caleb Williams",CHI,"QB13","24","29","26.7","2.0"
"26","Davante Adams",LAR,"WR7","23","35","27.4","4.4"
""
"27","Sam Darnold",SEA,"QB14","25","30","28.1","1.7"
"28","Jordan Love",GB,"QB15","27","32","29.1","1.7"
"29","Derrick Henry",BAL,"RB7","24","40","29.4","5.1"
"30","Trevor Lawrence",JAC,"QB16","27","32","30.4","1.5"
"31","Brock Purdy",SF,"QB17","27","36","30.7","3.2"
"32","Trey McBride",ARI,"TE1","24","66","30.9","14.4"
"33","James Cook III",BUF,"RB8","29","38","32.1","3.5"
"34","Daniel Jones",IND,"QB18","34","37","35.1","1.1"
"35","TreVeyon Henderson",NE,"RB9","29","40","35.3","4.1"
"36","George Pickens",DAL,"WR8","32","40","35.6","2.8"
"37","Tua Tagovailoa",MIA,"QB19","34","37","36.0","1.1"
"38","Jaxson Dart",NYG,"QB20","25","58","37.6","10.7"
"39","Saquon Barkley",PHI,"RB10","33","43","38.4","3.8"
"40","Nico Collins",HOU,"WR9","36","43","39.1","2.4"
"41","Kyren Williams",LAR,"RB11","42","50","44.1","2.5"
"42","Chris Olave",NO,"WR10","40","55","46.4","5.6"
"43","Travis Etienne Jr.",JAC,"RB12","43","50","46.7","2.3"
"44","A.J. Brown",PHI,"WR11","44","54","47.0","3.1"
