"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",SF,"RB1","1","4","1.3","0.9"
"2","Josh Allen",BUF,"QB1","1","3","2.3","0.6"
"3","Jaxon Smith-Njigba",SEA,"WR1","2","6","3.3","1.1"
"4","Matthew Stafford",LAR,"QB2","3","6","4.4","0.9"
"5","Drake Maye",NE,"QB3","3","9","6.2","2.0"
"6","Jalen Hurts",PHI,"QB4","5","12","7.9","1.7"
"7","Joe Burrow",CIN,"QB5","7","14","8.2","1.9"
"8","Puka Nacua",LAR,"WR2","5","17","8.9","4.2"
"9","Lamar Jackson",BAL,"QB6","6","12","9.1","1.8"
"10","Jahmyr Gibbs",DET,"RB2","5","11","9.4","1.9"
"11","Dak Prescott",DAL,"QB7","8","16","12.3","2.2"
"12","Jaxson Dart",NYG,"QB8","7","17","12.4","3.3"
"13","Ja'Marr Chase",CIN,"WR3","5","16","13.2","3.7"
"14","Bijan Robinson",ATL,"RB3","11","19","13.2","3.0"
"15","Patrick Mahomes II",KC,"QB9","12","17","13.9","1.4"
"16","Brock Purdy",SF,"QB10","13","19","15.2","1.7"
"17","De'Von Achane",MIA,"RB4","10","25","16.4","4.7"
"18","Rashee Rice",KC,"WR4","15","30","18.6","3.8"
"19","Jared Goff",DET,"QB11","17","23","19.7","1.8"
"20","Trevor Lawrence",JAC,"QB12","15","24","19.8","2.3"
"21","Marcus Mariota",WAS,"QB13","20","24","21.7","1.4"
"22","Baker Mayfield",TB,"QB14","19","26","22.0","1.9"
"23","Sam Darnold",SEA,"QB15","22","32","25.7","2.8"
"24","Jordan Love",GB,"QB16","24","28","26.0","1.5"
"25","Bucky Irving",TB,"RB5","20","36","27.9","5.1"
"26","Bo Nix",DEN,"QB17","24","35","28.2","3.6"
""
"27","Davante Adams",LAR,"WR5","20","38","29.2","5.3"
"28","J.J. McCarthy",MIN,"QB18","21","44","29.3","6.2"
"29","Amon-Ra St. Brown",DET,"WR6","18","38","29.6","4.7"
"30","Nico Collins",HOU,"WR7","29","33","31.7","1.0"
"31","James Cook III",BUF,"RB6","26","41","33.2","4.5"
"32","George Pickens",DAL,"WR8","30","39","33.9","2.8"
"33","Caleb Williams",CHI,"QB19","27","41","34.1","4.4"
"34","Justin Herbert",LAC,"QB20","28","41","34.1","3.7"
"35","Derrick Henry",BAL,"RB7","25","49","34.6","8.2"
"36","Jacoby Brissett",ARI,"QB21","26","48","35.7","7.3"
"37","C.J. Stroud",HOU,"QB22","23","47","36.1","8.2"
"38","Travis Etienne Jr.",JAC,"RB8","26","49","36.2","6.9"
"39","A.J. Brown",PHI,"WR9","31","43","38.2","3.6"
"40","Bryce Young",CAR,"QB23","30","48","40.7","6.1"
"41","Chase Brown",CIN,"RB9","33","57","41.2","6.0"
"42","Saquon Barkley",PHI,"RB10","23","54","42.1","10.3"
"43","Jonathan Taylor",IND,"RB11","39","51","42.6","3.6"
"44","Jaylen Waddle",MIA,"WR10","37","47","42.7","3.0"
"45","Tyler Shough",NO,"QB24","36","49","46.3","3.9"
"46","Josh Jacobs",GB,"RB12","40","49","46.6","3.1"
"47","Trey McBride",ARI,"TE1","40","67","47.4","6.4"
"48","Javonte Williams",DAL,"RB13","36","59","49.3","7.9"
"49","Michael Wilson",ARI,"WR11","42","72","49.3","10.1"
"50","Shedeur Sanders",CLE,"QB25","37","54","49.9","4.5"
"51","Chris Olave",NO,"WR12","45","64","51.5","5.6"
"52","Aaron Rodgers",PIT,"QB26","40","55","52.2","4.0"
"53","Wan'Dale Robinson",NYG,"WR13","42","63","52.9","7.7"
"54","Tetairoa McMillan",CAR,"WR14","50","60","54.1","3.9"
"55","George Kittle",SF,"TE2","46","74","55.8","7.4"
"56","Jameson Williams",DET,"WR15","45","65","56.8","6.3"
"57","Kirk Cousins",ATL,"QB27","54","70","57.1","4.6"
"58","TreVeyon Henderson",NE,"RB14","52","62","57.8","3.2"
"59","Quinshon Judkins",CLE,"RB15","53","66","60.5","3.3"
"60","Terry McLaurin",WAS,"WR16","55","72","62.1","5.5"
"61","RJ Harvey",DEN,"RB16","58","69","62.2","3.6"
"62","Kyren Williams",LAR,"RB17","58","71","63.3","4.5"
"63","Jaylen Warren",PIT,"RB18","59","72","63.5","4.2"
"64","Breece Hall",NYJ,"RB19","59","78","64.7","6.6"
"65","Woody Marks",HOU,"RB20","51","79","66.3","9.8"
"66","Tua Tagovailoa",MIA,"QB28","53","76","66.3","7.7"
"67","DeVonta Smith",PHI,"WR17","61","75","66.6","3.8"
"68","Jakobi Meyers",JAC,"WR18","64","69","67.0","1.8"
"69","Zay Flowers",BAL,"WR19","64","74","68.3","3.9"
"70","Ashton Jeanty",LV,"RB21","63","76","69.1","3.8"
"71","Stefon Diggs",NE,"WR20","57","74","69.2","4.5"
"72","Justin Jefferson",MIN,"WR21","65","76","69.7","3.6"
"73","Brock Bowers",LV,"TE3","62","92","70.0","9.8"
"74","Cam Ward",TEN,"QB29","55","74","70.8","5.2"
"75","Ladd McConkey",LAC,"WR22","72","86","76.4","3.5"
"76","Jauan Jennings",SF,"WR23","73","85","78.5","3.6"
