RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
1,Lamar Jackson,BAL,QB1,1,4,1.8,0.8,35.63,1,33.24,Lamar Jackson
2,Josh Allen,BUF,QB2,1,7,2,1.1,31.25,2,29.63,Josh Allen
3,Jalen Hurts,PHI,QB3,1,7,3.1,1.4,28.80,3,27.68,Jalen Hurts
4,Jayden Daniels,WAS,QB4,1,8,3.9,1.4,26.67,4,26.25,Jayden Daniels
5,Joe Burrow,CIN,QB5,2,8,6,1.7,25.35,5,25.09,Joe Burrow
6,Ja'Marr Chase,CIN,WR1,5,27,7.3,4.1,38.76,1,31.65,Ja'Marr Chase
7,Bijan Robinson,ATL,RB1,5,20,8.8,3.6,33.72,1,29.90,Bijan Robinson
8,Christian McCaffrey,SF,RB2,5,39,10.2,6.3,28.43,2,26.70,Christian McCaffrey
9,Baker Mayfield,TB,QB6,6,28,10.2,4.5,24.07,6,24.09,Baker Mayfield
10,Saquon Barkley,PHI,RB3,9,13,10.3,1.5,26.51,3,24.99,Saquon Barkley
11,Jahmyr Gibbs,DET,RB4,5,38,13.1,4.6,24.67,4,23.75,Jahmyr Gibbs
12,CeeDee Lamb,DAL,WR2,5,40,13.6,7.6,30.72,2,28.42,CeeDee Lamb
13,Patrick Mahomes II,KC,QB7,7,29,13.9,4.6,22.93,7,23.20,Patrick Mahomes II
14,Kyler Murray,ARI,QB8,8,25,15.1,4.3,22.07,8,22.38,Kyler Murray
15,Bo Nix,DEN,QB9,8,29,16.6,4.1,21.55,9,21.62,Bo Nix
16,Justin Jefferson,MIN,WR3,5,28,17.8,5.1,28.84,3,26.72,Justin Jefferson
17,Malik Nabers,NYG,WR4,9,34,20.6,5.3,26.68,4,25.50,Malik Nabers
18,Trevor Lawrence,JAC,QB10,8,44,20.6,6.8,20.62,10,20.91,Trevor Lawrence
19,Drake Maye,NE,QB11,8,35,21.4,5,19.73,11,20.22,Drake Maye
20,Brock Purdy,SF,QB12,15,37,23.9,4.8,19.06,12,19.56,Brock Purdy
21,Nico Collins,HOU,WR5,11,58,24.2,7.3,25.34,5,24.53,Nico Collins
22,Chase Brown,CIN,RB5,13,55,25,12.4,23.51,5,22.76,Chase Brown
23,Brian Thomas Jr.,JAC,WR6,15,40,27.6,5.5,24.26,6,23.71,Brian Thomas Jr.
24,Drake London,ATL,WR7,11,43,27.8,7.2,23.54,7,23.00,Drake London
25,Bucky Irving,TB,RB6,13,54,28.2,11.3,22.10,6,21.92,Bucky Irving
26,Jared Goff,DET,QB13,19,47,28.4,5.6,18.44,13,18.91,Jared Goff
27,Amon-Ra St. Brown,DET,WR8,18,41,28.5,6.5,22.16,8,22.36,Amon-Ra St. Brown
28,Justin Fields,NYJ,QB14,12,46,29.2,6.9,17.67,14,18.28,Justin Fields
29,Jordan Love,GB,QB15,14,41,29.3,5.2,16.94,15,17.65,Jordan Love
30,Dak Prescott,DAL,QB16,13,50,29.4,7.3,16.25,16,17.03,Dak Prescott
31,Puka Nacua,LAR,WR9,19,41,30.3,5.1,21.59,9,21.77,Puka Nacua
32,Justin Herbert,LAC,QB17,19,45,30.4,4.8,15.73,17,16.40,Justin Herbert
33,De'Von Achane,MIA,RB7,13,59,30.7,14.4,21.20,7,21.18,De'Von Achane
34,C.J. Stroud,HOU,QB18,16,45,33.4,5.8,15.22,18,15.76,C.J. Stroud
35,Jonathan Taylor,IND,RB8,10,53,33.5,13.2,20.04,8,20.51,Jonathan Taylor
36,Derrick Henry,BAL,RB9,11,54,35.3,13.2,19.51,9,19.89,Derrick Henry
37,Caleb Williams,CHI,QB19,15,47,35.4,6.2,14.75,19,15.12,Caleb Williams
38,A.J. Brown,PHI,WR10,18,58,36.9,8.5,20.98,10,21.23,A.J. Brown
39,Bryce Young,CAR,QB20,27,54,38.3,5.7,13.93,20,14.45,Bryce Young
40,Ashton Jeanty,LV,RB10,14,70,39.7,12.8,18.80,10,19.32,Ashton Jeanty
41,J.J. McCarthy,MIN,QB21,30,54,40.1,5.3,13.27,21,13.77,J.J. McCarthy
42,Tua Tagovailoa,MIA,QB22,27,50,42.5,4.6,12.69,22,13.05,Tua Tagovailoa
43,Michael Penix Jr.,ATL,QB23,30,53,42.6,5,12.02,23,12.29,Michael Penix Jr.
44,Matthew Stafford,LAR,QB24,30,62,45.4,5.1,11.21,24,11.47,Matthew Stafford
45,Mike Evans,TB,WR11,25,66,45.7,9.3,20.41,11,20.72,Mike Evans
46,Ladd McConkey,LAC,WR12,26,62,46.1,8.1,19.90,12,20.25,Ladd McConkey
47,Joe Flacco,CLE,QB25,28,71,48.1,9.5,10.35,25,10.57,Joe Flacco
48,Jaxon Smith-Njigba,SEA,WR13,36,65,48.4,8.3,19.24,13,19.79,Jaxon Smith-Njigba
49,Geno Smith,LV,QB26,37,57,48.9,3.3,9.35,26,9.56,Geno Smith
50,Josh Jacobs,GB,RB11,35,71,49.1,8.1,18.15,11,18.77,Josh Jacobs
51,Sam Darnold,SEA,QB27,42,60,50.7,3.3,7.82,27,8.39,Sam Darnold
52,Daniel Jones,IND,QB28,24,185,51.6,21.2,6.72,28,6.94,Daniel Jones
53,James Conner,ARI,RB12,14,80,52.4,14.7,17.65,12,18.26,James Conner
54,Alvin Kamara,NO,RB13,17,72,52.8,10.5,16.97,13,17.77,Alvin Kamara
55,Russell Wilson,NYG,QB29,34,68,54.9,6.3,5.49,29,4.94,Russell Wilson
56,Brock Bowers,LV,TE1,48,87,57.6,11.5,25.51,1,22.92,Brock Bowers
57,Tee Higgins,CIN,WR14,41,78,57.9,6.8,18.85,14,19.36,Tee Higgins
58,Kyren Williams,LAR,RB14,39,74,58.8,9.2,16.11,14,17.29,Kyren Williams
59,Trey McBride,ARI,TE2,48,81,59.9,7.1,22.09,2,20.17,Trey McBride
60,Kenneth Walker III,SEA,RB15,35,80,60.3,9.5,15.58,15,16.83,Kenneth Walker III
61,Davante Adams,LAR,WR15,40,78,61.1,6.2,18.45,15,18.94,Davante Adams
62,Tyreek Hill,MIA,WR16,40,84,61.4,7.8,17.80,16,18.54,Tyreek Hill
63,Cam Ward,TEN,QB30,48,79,63.3,6.7,4.71,30,1.10,Cam Ward
64,Marvin Harrison Jr.,ARI,WR17,58,77,65.2,4.9,17.11,17,18.15,Marvin Harrison Jr.
65,Chuba Hubbard,CAR,RB16,39,87,65.4,8.8,14.94,16,16.38,Chuba Hubbard
66,Garrett Wilson,NYJ,WR18,34,91,65.6,8.5,16.66,18,17.77,Garrett Wilson
67,Terry McLaurin,WAS,WR19,44,82,67.1,6.6,16.38,19,17.40,Terry McLaurin
68,Xavier Worthy,KC,WR20,44,101,67.8,8.7,15.71,20,17.04,Xavier Worthy
69,Aaron Rodgers,PIT,QB31,44,183,68.5,17.2,4.19,31,#N/A,Aaron Rodgers
70,Tetairoa McMillan,CAR,WR21,58,100,71.3,8.7,15.41,21,16.69,Tetairoa McMillan
71,James Cook,BUF,RB17,47,85,72.5,8.6,14.46,17,15.94,James Cook
72,DJ Moore,CHI,WR22,54,95,73.2,7,15.02,22,16.34,DJ Moore
73,Courtland Sutton,DEN,WR23,60,83,73.8,5.9,14.68,23,15.99,Courtland Sutton
74,George Kittle,SF,TE3,51,109,73.8,9.4,19.81,3,18.66,George Kittle
75,DeVonta Smith,PHI,WR24,66,89,74.5,5.4,14.35,24,15.65,DeVonta Smith
76,Jerry Jeudy,CLE,WR25,40,97,75.4,9.8,13.93,25,15.31,Jerry Jeudy
77,Jaylen Waddle,MIA,WR26,59,94,78.3,7.2,13.64,26,14.97,Jaylen Waddle
78,Omarion Hampton,LAC,RB18,59,114,78.9,10.5,13.93,18,15.50,Omarion Hampton
79,Breece Hall,NYJ,RB19,26,102,80.2,11.2,13.61,19,15.07,Breece Hall
80,Zay Flowers,BAL,WR27,60,104,80.8,7.7,13.26,27,14.64,Zay Flowers
81,Tony Pollard,TEN,RB20,65,114,83,10.3,12.91,20,14.65,Tony Pollard
82,DK Metcalf,PIT,WR28,67,105,85.1,7.4,12.97,28,14.30,DK Metcalf
83,Jameson Williams,DET,WR29,76,112,86.7,6.3,12.55,29,13.97,Jameson Williams
84,George Pickens,DAL,WR30,67,108,87.2,7.5,12.30,30,13.63,George Pickens
85,TreVeyon Henderson,NE,RB21,70,114,88.3,10.9,12.47,21,14.22,TreVeyon Henderson
86,Aaron Jones Sr.,MIN,RB22,59,113,88.7,9.5,12.10,22,13.80,Aaron Jones Sr.
87,Emeka Egbuka,TB,WR31,65,130,89.7,14.5,12.08,31,13.30,Emeka Egbuka
88,Isiah Pacheco,KC,RB23,70,108,89.9,7.8,11.65,23,13.38,Isiah Pacheco
89,Chris Olave,NO,WR32,71,111,89.9,7.4,11.73,32,12.96,Chris Olave
90,D'Andre Swift,CHI,RB24,70,109,92.1,8.1,11.23,24,12.95,D'Andre Swift
91,Stefon Diggs,NE,WR33,69,126,93.5,7.5,11.33,33,12.62,Stefon Diggs
92,Spencer Rattler,NO,QB32,51,86,77.4,7.5,3.13,32,#N/A,Spencer Rattler
93,Calvin Ridley,TEN,WR34,72,114,95.5,7.8,11.02,34,12.27,Calvin Ridley
94,Travis Hunter,JAC,WR35,75,118,95.8,7.8,10.73,35,11.92,Travis Hunter
95,David Montgomery,DET,RB25,76,111,96,6.6,10.87,25,12.52,David Montgomery
96,Ricky Pearsall,SF,WR36,67,186,96.3,18.4,10.50,36,11.57,Ricky Pearsall
97,Jakobi Meyers,LV,WR37,89,115,98.4,5.7,10.20,37,11.21,Jakobi Meyers
98,Deebo Samuel Sr.,WAS,WR38,67,116,99.6,8,9.89,38,10.84,Deebo Samuel Sr.
99,Sam LaPorta,DET,TE4,70,136,100.8,12.9,17.90,4,17.55,Sam LaPorta
100,Travis Kelce,KC,TE5,69,132,101.2,12.8,16.45,5,16.65,Travis Kelce
101,Rome Odunze,CHI,WR39,79,117,101.5,6.9,9.57,39,10.46,Rome Odunze
102,Tyrone Tracy Jr.,NYG,RB26,82,121,103,9.3,10.55,26,12.08,Tyrone Tracy Jr.
103,Michael Pittman Jr.,IND,WR40,88,115,103.2,6.3,9.14,40,10.07,Michael Pittman Jr.
104,T.J. Hockenson,MIN,TE6,87,132,105.3,11.1,15.50,6,15.87,T.J. Hockenson
105,Travis Etienne Jr.,JAC,RB27,69,128,106.1,11.8,10.19,27,11.64,Travis Etienne Jr.
106,Khalil Shakir,BUF,WR41,86,131,106.5,8.4,8.84,41,9.67,Khalil Shakir
107,RJ Harvey,DEN,RB28,82,135,106.7,11.1,9.67,28,11.18,RJ Harvey
108,David Njoku,CLE,TE7,87,137,107.9,13.7,14.49,7,15.16,David Njoku
109,Jaylen Warren,PIT,RB29,97,127,108,7.6,9.49,29,10.71,Jaylen Warren
110,Matthew Golden,GB,WR42,86,135,108.7,9.9,8.58,42,9.25,Matthew Golden
