"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",SF,"RB1","1","1","1.0","0.0"
"2","Patrick Mahomes II",KC,"QB1","2","4","2.6","0.8"
"3","Josh Allen",BUF,"QB2","2","5","3.0","0.9"
"4","Lamar Jackson",BAL,"QB3","2","5","3.9","1.1"
"5","Ja'Marr Chase",CIN,"WR1","4","7","5.3","1.4"
"6","Justin Herbert",LAC,"QB4","5","10","8.2","1.4"
"7","Jaxon Smith-Njigba",SEA,"WR2","7","19","8.8","3.2"
"8","Drake Maye",NE,"QB5","6","13","9.1","1.6"
"9","Jonathan Taylor",IND,"RB2","5","12","9.4","3.0"
"10","Bijan Robinson",ATL,"RB3","5","22","9.9","4.6"
"11","Dak Prescott",DAL,"QB6","9","16","11.5","2.2"
"12","Puka Nacua",LAR,"WR3","7","19","11.6","2.4"
"13","Daniel Jones",IND,"QB7","9","19","12.9","3.1"
"14","De'Von Achane",MIA,"RB4","12","16","13.6","1.0"
"15","Jahmyr Gibbs",DET,"RB5","6","23","14.9","4.2"
"16","Caleb Williams",CHI,"QB8","16","20","17.3","1.4"
"17","Kyler Murray",ARI,"QB9","15","24","17.6","2.3"
"18","Matthew Stafford",LAR,"QB10","16","25","19.6","2.1"
"19","CeeDee Lamb",DAL,"WR4","11","26","19.9","3.5"
"20","Amon-Ra St. Brown",DET,"WR5","17","27","20.1","2.7"
"21","Jaxson Dart",NYG,"QB11","15","25","20.4","2.9"
"22","Jordan Love",GB,"QB12","16","29","23.4","3.5"
"23","Rashee Rice",KC,"WR6","8","28","24.3","4.7"
"24","Trey McBride",ARI,"TE1","23","27","24.6","1.9"
"25","Javonte Williams",DAL,"RB6","22","36","26.3","5.0"
"26","Joe Flacco",CIN,"QB13","20","37","26.4","4.0"
""
"27","Jared Goff",DET,"QB14","24","30","26.6","1.7"
"28","Derrick Henry",BAL,"RB7","13","44","28.9","9.3"
